参数名,参数英文名,类型,参数类型,接口名,接口类型
-,,-,输出参数,macro_china_nbs_nation,中国宏观数据
-,,-,输出参数,macro_china_nbs_region,中国宏观数据
...,,-,输出参数,macro_euro_lme_holding,其他宏观数据
...,,...,输出参数,macro_euro_lme_stock,其他宏观数据
...,,...,输出参数,macro_usa_cftc_nc_holding,美国宏观数据
...,,...,输出参数,macro_usa_cftc_c_holding,美国宏观数据
...,,...,输出参数,macro_usa_cftc_merchant_currency_holding,美国宏观数据
...,,...,输出参数,macro_usa_cftc_merchant_goods_holding,美国宏观数据
100日元/人民币_中间价,_,float64,输出参数,macro_china_rmb,中国宏观数据
100日元/人民币_涨跌幅,_,float64,输出参数,macro_china_rmb,中国宏观数据
10Y,Y,float64,输出参数,macro_china_swap_rate,中国宏观数据
1M,M,float64,输出参数,macro_china_swap_rate,中国宏观数据
1M-定价,M,float64,输出参数,macro_china_shibor_all,其他宏观数据
1M-定价,M,float64,输出参数,macro_china_hk_market_info,其他宏观数据
1M-涨跌幅,M,float64,输出参数,macro_china_shibor_all,其他宏观数据
1M-涨跌幅,M,float64,输出参数,macro_china_hk_market_info,其他宏观数据
1W-定价,W,float64,输出参数,macro_china_shibor_all,其他宏观数据
1W-定价,W,float64,输出参数,macro_china_hk_market_info,其他宏观数据
1W-涨跌幅,W,float64,输出参数,macro_china_shibor_all,其他宏观数据
1W-涨跌幅,W,float64,输出参数,macro_china_hk_market_info,其他宏观数据
1Y,Y,float64,输出参数,macro_china_swap_rate,中国宏观数据
1Y-定价,Y,float64,输出参数,macro_china_shibor_all,其他宏观数据
1Y-定价,Y,float64,输出参数,macro_china_hk_market_info,其他宏观数据
1Y-涨跌幅,Y,float,输出参数,macro_china_shibor_all,其他宏观数据
1Y-涨跌幅,Y,float64,输出参数,macro_china_hk_market_info,其他宏观数据
2M-定价,M,float64,输出参数,macro_china_shibor_all,其他宏观数据
2M-定价,M,float64,输出参数,macro_china_hk_market_info,其他宏观数据
2M-涨跌幅,M,float64,输出参数,macro_china_shibor_all,其他宏观数据
2M-涨跌幅,M,float64,输出参数,macro_china_hk_market_info,其他宏观数据
2W-定价,W,float64,输出参数,macro_china_shibor_all,其他宏观数据
2W-定价,W,float64,输出参数,macro_china_hk_market_info,其他宏观数据
2W-涨跌幅,W,float64,输出参数,macro_china_shibor_all,其他宏观数据
2W-涨跌幅,W,float64,输出参数,macro_china_hk_market_info,其他宏观数据
2Y,Y,float64,输出参数,macro_china_swap_rate,中国宏观数据
3M,M,float64,输出参数,macro_china_swap_rate,中国宏观数据
3M-定价,M,float64,输出参数,macro_china_shibor_all,其他宏观数据
3M-定价,M,float64,输出参数,macro_china_hk_market_info,其他宏观数据
3M-涨跌幅,M,float64,输出参数,macro_china_shibor_all,其他宏观数据
3M-涨跌幅,M,float64,输出参数,macro_china_hk_market_info,其他宏观数据
3Y,Y,float64,输出参数,macro_china_swap_rate,中国宏观数据
4Y,Y,float64,输出参数,macro_china_swap_rate,中国宏观数据
5Y,Y,float64,输出参数,macro_china_swap_rate,中国宏观数据
6M,M,float64,输出参数,macro_china_swap_rate,中国宏观数据
6M-定价,M,float64,输出参数,macro_china_shibor_all,其他宏观数据
6M-定价,M,float64,输出参数,macro_china_hk_market_info,其他宏观数据
6M-涨跌幅,M,float64,输出参数,macro_china_shibor_all,其他宏观数据
6M-涨跌幅,M,float64,输出参数,macro_china_hk_market_info,其他宏观数据
7Y,Y,float64,输出参数,macro_china_swap_rate,中国宏观数据
9M,M,float64,输出参数,macro_china_swap_rate,中国宏观数据
9M-定价,M,float64,输出参数,macro_china_shibor_all,其他宏观数据
9M-定价,M,float64,输出参数,macro_china_hk_market_info,其他宏观数据
9M-涨跌幅,M,float64,输出参数,macro_china_shibor_all,其他宏观数据
9M-涨跌幅,M,float64,输出参数,macro_china_hk_market_info,其他宏观数据
A股最低综合股价指数-上海,A,float64,输出参数,macro_china_stock_market_cap,其他宏观数据
A股最低综合股价指数-深圳,A,float64,输出参数,macro_china_stock_market_cap,其他宏观数据
A股最高综合股价指数-上海,A,float64,输出参数,macro_china_stock_market_cap,其他宏观数据
A股最高综合股价指数-深圳,A,float64,输出参数,macro_china_stock_market_cap,其他宏观数据
HRCI国际集装箱租船指数,HRCI,float64,输出参数,macro_china_freight_index,中国宏观数据
LPR1Y,LPR1Y,float64,输出参数,macro_china_lpr,中国宏观数据
LPR5Y,LPR5Y,float64,输出参数,macro_china_lpr,中国宏观数据
O/N-定价,O,float64,输出参数,macro_china_shibor_all,其他宏观数据
O/N-定价,O,float64,输出参数,macro_china_hk_market_info,其他宏观数据
O/N-涨跌幅,O,float64,输出参数,macro_china_shibor_all,其他宏观数据
O/N-涨跌幅,O,float64,输出参数,macro_china_hk_market_info,其他宏观数据
ON-定价,ON,float64,输出参数,macro_china_shibor_all,其他宏观数据
ON-定价,ON,float64,输出参数,macro_china_hk_market_info,其他宏观数据
ON-涨跌幅,ON,float64,输出参数,macro_china_shibor_all,其他宏观数据
ON-涨跌幅,ON,float64,输出参数,macro_china_hk_market_info,其他宏观数据
RATE_1,RATE_1,float64,输出参数,macro_china_lpr,中国宏观数据
RATE_2,RATE_2,float64,输出参数,macro_china_lpr,中国宏观数据
TRADE_DATE,TRADE_DATE,object,输出参数,macro_china_lpr,中国宏观数据
city_first,city_first,str,输入参数,macro_china_new_house_price,中国宏观数据
city_second,city_second,str,输入参数,macro_china_new_house_price,中国宏观数据
date,date,str,输入参数,macro_info_ws,其他宏观数据
date,date,str,输入参数,news_economic_baidu,其他宏观数据
date,date,object,输出参数,macro_china_urban_unemployment,中国宏观数据
end_date,end_date,str,输入参数,macro_china_swap_rate,中国宏观数据
indicator,indicator,"Union[str, None]",输入参数,macro_china_nbs_region,中国宏观数据
item,item,object,输出参数,macro_china_urban_unemployment,中国宏观数据
kind,kind,str,输入参数,macro_china_nbs_nation,中国宏观数据
kind,kind,str,输入参数,macro_china_nbs_region,中国宏观数据
path,path,str,输入参数,macro_china_nbs_nation,中国宏观数据
path,path,str,输入参数,macro_china_nbs_region,中国宏观数据
period,period,str,输入参数,macro_china_nbs_nation,中国宏观数据
period,period,str,输入参数,macro_china_nbs_region,中国宏观数据
region,region,"Union[str, None]",输入参数,macro_china_nbs_region,中国宏观数据
start_date,start_date,str,输入参数,macro_china_swap_rate,中国宏观数据
value,value,float64,输出参数,macro_china_urban_unemployment,中国宏观数据
业务及管理费,,float64,输出参数,macro_china_insurance,中国宏观数据
中央政府,,float64,输出参数,macro_cnbs,中国宏观数据
中小金融机构-调整前,,float64,输出参数,macro_china_reserve_requirement_ratio,中国宏观数据
中小金融机构-调整后,,float64,输出参数,macro_china_reserve_requirement_ratio,中国宏观数据
中小金融机构-调整幅度,,float64,输出参数,macro_china_reserve_requirement_ratio,中国宏观数据
乡村住宅电话用户,,float,输出参数,macro_china_postal_telecommunicational,中国宏观数据
乡村住宅电话用户同比增长,,float,输出参数,macro_china_postal_telecommunicational,中国宏观数据
乡村居民用电量,,float64,输出参数,macro_china_society_electricity,中国宏观数据
乡村居民用电量同比,,float64,输出参数,macro_china_society_electricity,中国宏观数据
乡村电话用户数,,float,输出参数,macro_china_postal_telecommunicational,中国宏观数据
乡村电话用户数同比增长,,float,输出参数,macro_china_postal_telecommunicational,中国宏观数据
事件,,object,输出参数,macro_info_ws,其他宏观数据
事件,,object,输出参数,news_economic_baidu,其他宏观数据
二手住宅价格指数-同比,,float64,输出参数,macro_china_new_house_price,中国宏观数据
二手住宅价格指数-定基,,float64,输出参数,macro_china_new_house_price,中国宏观数据
二手住宅价格指数-环比,,float64,输出参数,macro_china_new_house_price,中国宏观数据
交收方向,,object,输出参数,macro_china_au_report,其他宏观数据
交收量,,float64,输出参数,macro_china_au_report,其他宏观数据
人民币/丹麦克朗_中间价,_,float64,输出参数,macro_china_rmb,中国宏观数据
人民币/丹麦克朗_中间价,_,float64,输出参数,macro_china_rmb,中国宏观数据
人民币/丹麦克朗_涨跌幅,_,float64,输出参数,macro_china_rmb,中国宏观数据
人民币/丹麦克朗_涨跌幅,_,float64,输出参数,macro_china_rmb,中国宏观数据
人民币/俄罗斯卢布_中间价,_,float64,输出参数,macro_china_rmb,中国宏观数据
人民币/俄罗斯卢布_涨跌幅,_,float64,输出参数,macro_china_rmb,中国宏观数据
人民币/匈牙利福林_中间价,_,float64,输出参数,macro_china_rmb,中国宏观数据
人民币/匈牙利福林_涨跌幅,_,float64,输出参数,macro_china_rmb,中国宏观数据
人民币/南非兰特_中间价,_,float64,输出参数,macro_china_rmb,中国宏观数据
人民币/南非兰特_涨跌幅,_,float64,输出参数,macro_china_rmb,中国宏观数据
人民币/土耳其里拉_中间价,_,float64,输出参数,macro_china_rmb,中国宏观数据
人民币/土耳其里拉_涨跌幅,_,float64,输出参数,macro_china_rmb,中国宏观数据
人民币/墨西哥比索_中间价,_,float64,输出参数,macro_china_rmb,中国宏观数据
人民币/墨西哥比索_涨跌幅,_,float64,输出参数,macro_china_rmb,中国宏观数据
人民币/挪威克朗_中间价,_,float64,输出参数,macro_china_rmb,中国宏观数据
人民币/挪威克朗_涨跌幅,_,float64,输出参数,macro_china_rmb,中国宏观数据
人民币/沙特里亚尔_中间价,_,float64,输出参数,macro_china_rmb,中国宏观数据
人民币/沙特里亚尔_涨跌幅,_,float64,输出参数,macro_china_rmb,中国宏观数据
人民币/波兰兹罗提_中间价,_,float64,输出参数,macro_china_rmb,中国宏观数据
人民币/波兰兹罗提_涨跌幅,_,float64,输出参数,macro_china_rmb,中国宏观数据
人民币/泰铢_中间价,_,float64,输出参数,macro_china_rmb,中国宏观数据
人民币/泰铢_涨跌幅,_,float64,输出参数,macro_china_rmb,中国宏观数据
人民币/瑞典克朗_中间价,_,float64,输出参数,macro_china_rmb,中国宏观数据
人民币/瑞典克朗_涨跌幅,_,float64,输出参数,macro_china_rmb,中国宏观数据
人民币/阿联酋迪拉姆_中间价,_,float64,输出参数,macro_china_rmb,中国宏观数据
人民币/阿联酋迪拉姆_涨跌幅,_,float64,输出参数,macro_china_rmb,中国宏观数据
人民币/韩元_中间价,_,float64,输出参数,macro_china_rmb,中国宏观数据
人民币/韩元_涨跌幅,_,float64,输出参数,macro_china_rmb,中国宏观数据
人民币/马来西亚林吉特_中间价,_,float64,输出参数,macro_china_rmb,中国宏观数据
人民币/马来西亚林吉特_涨跌幅,_,float64,输出参数,macro_china_rmb,中国宏观数据
人身险-健康险保费收入,,float64,输出参数,macro_china_insurance,中国宏观数据
人身险-健康险赔付支出,,float64,输出参数,macro_china_insurance,中国宏观数据
人身险-寿险保费收入,,float64,输出参数,macro_china_insurance,中国宏观数据
人身险-寿险赔付支出,,float64,输出参数,macro_china_insurance,中国宏观数据
人身险-意外险保费收入,,float64,输出参数,macro_china_insurance,中国宏观数据
人身险-意外险赔付支出,,float64,输出参数,macro_china_insurance,中国宏观数据
人身险保费收入,,float64,输出参数,macro_china_insurance,中国宏观数据
人身险保费赔付支出,,float64,输出参数,macro_china_insurance,中国宏观数据
今值,,float64,输出参数,macro_china_gdp_yearly,中国宏观数据
今值,,float64,输出参数,macro_china_cpi_yearly,中国宏观数据
今值,,float64,输出参数,macro_china_cpi_monthly,中国宏观数据
今值,,float64,输出参数,macro_china_ppi_yearly,中国宏观数据
今值,,float64,输出参数,macro_china_exports_yoy,中国宏观数据
今值,,float64,输出参数,macro_china_imports_yoy,中国宏观数据
今值,,float64,输出参数,macro_china_trade_balance,中国宏观数据
今值,,float64,输出参数,macro_china_industrial_production_yoy,中国宏观数据
今值,,float64,输出参数,macro_china_pmi_yearly,中国宏观数据
今值,,float64,输出参数,macro_china_cx_pmi_yearly,中国宏观数据
今值,,float64,输出参数,macro_china_cx_services_pmi_yearly,中国宏观数据
今值,,float64,输出参数,macro_china_non_man_pmi,中国宏观数据
今值,,float64,输出参数,macro_china_fx_reserves_yearly,中国宏观数据
今值,,float64,输出参数,macro_china_m2_yearly,中国宏观数据
今值,,float64,输出参数,macro_usa_gdp_monthly,美国宏观数据
今值,,float64,输出参数,macro_usa_cpi_monthly,美国宏观数据
今值,,float64,输出参数,macro_usa_core_cpi_monthly,美国宏观数据
今值,,float64,输出参数,macro_usa_personal_spending,美国宏观数据
今值,,float64,输出参数,macro_usa_retail_sales,美国宏观数据
今值,,float64,输出参数,macro_usa_import_price,美国宏观数据
今值,,float64,输出参数,macro_usa_export_price,美国宏观数据
今值,,float64,输出参数,macro_usa_lmci,其他宏观数据
今值,,float64,输出参数,macro_usa_unemployment_rate,美国宏观数据
今值,,float64,输出参数,macro_usa_job_cuts,美国宏观数据
今值,,float64,输出参数,macro_usa_non_farm,美国宏观数据
今值,,float64,输出参数,macro_usa_adp_employment,美国宏观数据
今值,,float64,输出参数,macro_usa_core_pce_price,美国宏观数据
今值,,float64,输出参数,macro_usa_real_consumer_spending,美国宏观数据
今值,,float64,输出参数,macro_usa_trade_balance,美国宏观数据
今值,,float64,输出参数,macro_usa_current_account,美国宏观数据
今值,,float64,输出参数,macro_usa_ppi,美国宏观数据
今值,,float64,输出参数,macro_usa_core_ppi,美国宏观数据
今值,,float64,输出参数,macro_usa_api_crude_stock,美国宏观数据
今值,,float64,输出参数,macro_usa_pmi,美国宏观数据
今值,,float64,输出参数,macro_usa_ism_pmi,美国宏观数据
今值,,float64,输出参数,macro_usa_industrial_production,美国宏观数据
今值,,float64,输出参数,macro_usa_durable_goods_orders,美国宏观数据
今值,,float64,输出参数,macro_usa_factory_orders,美国宏观数据
今值,,float64,输出参数,macro_usa_services_pmi,美国宏观数据
今值,,float64,输出参数,macro_usa_business_inventories,美国宏观数据
今值,,float64,输出参数,macro_usa_ism_non_pmi,美国宏观数据
今值,,float64,输出参数,macro_usa_nahb_house_market_index,美国宏观数据
今值,,float64,输出参数,macro_usa_house_starts,美国宏观数据
今值,,float64,输出参数,macro_usa_new_home_sales,美国宏观数据
今值,,float64,输出参数,macro_usa_building_permits,美国宏观数据
今值,,float64,输出参数,macro_usa_exist_home_sales,美国宏观数据
今值,,float64,输出参数,macro_usa_house_price_index,美国宏观数据
今值,,float64,输出参数,macro_usa_spcs20,美国宏观数据
今值,,float64,输出参数,macro_usa_pending_home_sales,美国宏观数据
今值,,float64,输出参数,macro_usa_cb_consumer_confidence,美国宏观数据
今值,,float64,输出参数,macro_usa_nfib_small_business,美国宏观数据
今值,,float64,输出参数,macro_usa_michigan_consumer_sentiment,美国宏观数据
今值,,float64,输出参数,macro_usa_eia_crude_rate,美国宏观数据
今值,,float64,输出参数,macro_usa_initial_jobless,美国宏观数据
今值,,float64,输出参数,macro_euro_gdp_yoy,欧洲宏观数据
今值,,float64,输出参数,macro_euro_cpi_mom,欧洲宏观数据
今值,,float64,输出参数,macro_euro_cpi_yoy,欧洲宏观数据
今值,,float64,输出参数,macro_euro_ppi_mom,欧洲宏观数据
今值,,float64,输出参数,macro_euro_retail_sales_mom,欧洲宏观数据
今值,,float64,输出参数,macro_euro_employment_change_qoq,欧洲宏观数据
今值,,float64,输出参数,macro_euro_unemployment_rate_mom,欧洲宏观数据
今值,,float64,输出参数,macro_euro_trade_balance,欧洲宏观数据
今值,,float64,输出参数,macro_euro_current_account_mom,欧洲宏观数据
今值,,float64,输出参数,macro_euro_industrial_production_mom,欧洲宏观数据
今值,,float64,输出参数,macro_euro_manufacturing_pmi,欧洲宏观数据
今值,,float64,输出参数,macro_euro_services_pmi,欧洲宏观数据
今值,,float64,输出参数,macro_euro_zew_economic_sentiment,欧洲宏观数据
今值,,float64,输出参数,macro_euro_sentix_investor_confidence,欧洲宏观数据
今值,,float64,输出参数,macro_info_ws,其他宏观数据
价格,,float64,输出参数,macro_china_bond_public,中国宏观数据
价格类型,,object,输出参数,macro_china_swap_rate,中国宏观数据
企业家信心指数-同比,,float64,输出参数,macro_china_enterprise_boom_index,中国宏观数据
企业家信心指数-指数,,float64,输出参数,macro_china_enterprise_boom_index,中国宏观数据
企业家信心指数-环比,,float64,输出参数,macro_china_enterprise_boom_index,中国宏观数据
企业景气指数-同比,,float64,输出参数,macro_china_enterprise_boom_index,中国宏观数据
企业景气指数-指数,,float64,输出参数,macro_china_enterprise_boom_index,中国宏观数据
企业景气指数-环比,,float64,输出参数,macro_china_enterprise_boom_index,中国宏观数据
伊拉克,,float64,输出参数,macro_cons_opec_month,其他宏观数据
伊朗,,float64,输出参数,macro_cons_opec_month,其他宏观数据
债券,,float64,输出参数,macro_china_central_bank_balance,中国宏观数据
债券全称,,object,输出参数,macro_china_bond_public,中国宏观数据
债券期限,,object,输出参数,macro_china_bond_public,中国宏观数据
债券类型,,object,输出参数,macro_china_bond_public,中国宏观数据
债券评级,,object,输出参数,macro_china_bond_public,中国宏观数据
储备货币,,float64,输出参数,macro_china_central_bank_balance,中国宏观数据
储蓄存款出,,float64,输出参数,macro_china_supply_of_money,中国宏观数据
储蓄存款同比增长,,float64,输出参数,macro_china_supply_of_money,中国宏观数据
全国-同比增长,,float64,输出参数,macro_china_cpi,中国宏观数据
全国-当月,,float64,输出参数,macro_china_cpi,中国宏观数据
全国-环比增长,,float64,输出参数,macro_china_cpi,中国宏观数据
全国-累计,,float64,输出参数,macro_china_cpi,中国宏观数据
全社会用电量,,float64,输出参数,macro_china_society_electricity,中国宏观数据
全社会用电量同比,,float64,输出参数,macro_china_society_electricity,中国宏观数据
公布,,float64,输出参数,news_economic_baidu,其他宏观数据
公布时间,,object,输出参数,macro_china_reserve_requirement_ratio,中国宏观数据
公里旅客周转量同比增长,,float64,输出参数,macro_china_society_traffic_volume,中国宏观数据
公里民航总周转,,float64,输出参数,macro_china_society_traffic_volume,中国宏观数据
公里货物周转量同比增长,,float64,输出参数,macro_china_society_traffic_volume,中国宏观数据
其中-人民币贷款,,float64,输出参数,macro_china_shrzgm,贸易数据
其中-企业债券,,float64,输出参数,macro_china_shrzgm,贸易数据
其中-信托贷款,,float64,输出参数,macro_china_shrzgm,贸易数据
其中-委托贷款,,float64,输出参数,macro_china_shrzgm,贸易数据
其中-委托贷款外币贷款,,float64,输出参数,macro_china_shrzgm,贸易数据
其中-未贴现银行承兑汇票,,float64,输出参数,macro_china_shrzgm,贸易数据
其中-非金融企业境内股票融资,,float64,输出参数,macro_china_shrzgm,贸易数据
其中:中央政府,,float64,输出参数,macro_china_central_bank_balance,中国宏观数据
其中:外贸货物吞吐量,,float64,输出参数,macro_china_society_traffic_volume,中国宏观数据
其中:外贸货物吞吐量同比增长,,float64,输出参数,macro_china_society_traffic_volume,中国宏观数据
其他国外资产,,float64,输出参数,macro_china_central_bank_balance,中国宏观数据
其他存款,,float64,输出参数,macro_china_supply_of_money,中国宏观数据
其他存款同比增长,,float64,输出参数,macro_china_supply_of_money,中国宏观数据
其他存款性公司,,float64,输出参数,macro_china_central_bank_balance,中国宏观数据
其他负债,,float64,输出参数,macro_china_central_bank_balance,中国宏观数据
其他资产,,float64,输出参数,macro_china_central_bank_balance,中国宏观数据
其他金融性公司,,float64,输出参数,macro_china_central_bank_balance,中国宏观数据
养老保险公司企业年金受托管理资产,,float64,输出参数,macro_china_insurance,中国宏观数据
养老保险公司企业年金投资管理资产,,float64,输出参数,macro_china_insurance,中国宏观数据
养老保险公司企业年金缴费,,float64,输出参数,macro_china_insurance,中国宏观数据
农产品-同比增长,,float64,输出参数,macro_china_qyspjg,中国宏观数据
农产品-指数值,,float64,输出参数,macro_china_qyspjg,中国宏观数据
农产品-环比增长,,float64,输出参数,macro_china_qyspjg,中国宏观数据
农村-同比增长,,float64,输出参数,macro_china_cpi,中国宏观数据
农村-当月,,float64,输出参数,macro_china_cpi,中国宏观数据
农村-环比增长,,float64,输出参数,macro_china_cpi,中国宏观数据
农村-累计,,float64,输出参数,macro_china_cpi,中国宏观数据
准备金存款,,float64,输出参数,macro_china_central_bank_balance,中国宏观数据
准货币,,float64,输出参数,macro_china_supply_of_money,中国宏观数据
准货币同比增长,,float64,输出参数,macro_china_supply_of_money,中国宏观数据
函件总数,,float,输出参数,macro_china_postal_telecommunicational,中国宏观数据
函件总数同比增长,,float,输出参数,macro_china_postal_telecommunicational,中国宏观数据
利比亚,,float64,输出参数,macro_cons_opec_month,其他宏观数据
制造业-同比增长,,float64,输出参数,macro_china_pmi,其他宏观数据
制造业-指数,,float64,输出参数,macro_china_pmi,其他宏观数据
前值,,float64,输出参数,macro_china_gdp_yearly,中国宏观数据
前值,,float64,输出参数,macro_china_cpi_yearly,中国宏观数据
前值,,float64,输出参数,macro_china_cpi_monthly,中国宏观数据
前值,,float64,输出参数,macro_china_ppi_yearly,中国宏观数据
前值,,float64,输出参数,macro_china_exports_yoy,中国宏观数据
前值,,float64,输出参数,macro_china_imports_yoy,中国宏观数据
前值,,float64,输出参数,macro_china_trade_balance,中国宏观数据
前值,,float64,输出参数,macro_china_industrial_production_yoy,中国宏观数据
前值,,float64,输出参数,macro_china_pmi_yearly,中国宏观数据
前值,,float64,输出参数,macro_china_cx_pmi_yearly,中国宏观数据
前值,,float64,输出参数,macro_china_cx_services_pmi_yearly,中国宏观数据
前值,,float64,输出参数,macro_china_non_man_pmi,中国宏观数据
前值,,float64,输出参数,macro_china_fx_reserves_yearly,中国宏观数据
前值,,float64,输出参数,macro_china_m2_yearly,中国宏观数据
前值,,float64,输出参数,macro_china_hk_cpi,中国宏观数据
前值,,float64,输出参数,macro_china_hk_cpi_ratio,中国宏观数据
前值,,float64,输出参数,macro_china_hk_rate_of_unemployment,中国宏观数据
前值,,float64,输出参数,macro_china_hk_gbp,中国宏观数据
前值,,float64,输出参数,macro_china_hk_gbp_ratio,中国宏观数据
前值,,float64,输出参数,macro_china_hk_building_volume,中国宏观数据
前值,,float64,输出参数,macro_china_hk_building_amount,中国宏观数据
前值,,float64,输出参数,macro_china_hk_trade_diff_ratio,中国宏观数据
前值,,float64,输出参数,macro_china_hk_ppi,中国宏观数据
前值,,float64,输出参数,macro_usa_gdp_monthly,美国宏观数据
