参数名,参数英文名,类型,参数类型,接口名,接口类型
前值,,float64,输出参数,macro_usa_cpi_monthly,美国宏观数据
前值,,float64,输出参数,macro_usa_cpi_yoy,美国宏观数据
前值,,float64,输出参数,macro_usa_core_cpi_monthly,美国宏观数据
前值,,float64,输出参数,macro_usa_personal_spending,美国宏观数据
前值,,float64,输出参数,macro_usa_retail_sales,美国宏观数据
前值,,float64,输出参数,macro_usa_import_price,美国宏观数据
前值,,float64,输出参数,macro_usa_export_price,美国宏观数据
前值,,float64,输出参数,macro_usa_lmci,其他宏观数据
前值,,float64,输出参数,macro_usa_unemployment_rate,美国宏观数据
前值,,float64,输出参数,macro_usa_job_cuts,美国宏观数据
前值,,float64,输出参数,macro_usa_non_farm,美国宏观数据
前值,,float64,输出参数,macro_usa_adp_employment,美国宏观数据
前值,,float64,输出参数,macro_usa_core_pce_price,美国宏观数据
前值,,float64,输出参数,macro_usa_real_consumer_spending,美国宏观数据
前值,,float64,输出参数,macro_usa_trade_balance,美国宏观数据
前值,,float64,输出参数,macro_usa_current_account,美国宏观数据
前值,,float64,输出参数,macro_usa_ppi,美国宏观数据
前值,,float64,输出参数,macro_usa_core_ppi,美国宏观数据
前值,,float64,输出参数,macro_usa_api_crude_stock,美国宏观数据
前值,,float64,输出参数,macro_usa_pmi,美国宏观数据
前值,,float64,输出参数,macro_usa_ism_pmi,美国宏观数据
前值,,float64,输出参数,macro_usa_industrial_production,美国宏观数据
前值,,float64,输出参数,macro_usa_durable_goods_orders,美国宏观数据
前值,,float64,输出参数,macro_usa_factory_orders,美国宏观数据
前值,,float64,输出参数,macro_usa_services_pmi,美国宏观数据
前值,,float64,输出参数,macro_usa_business_inventories,美国宏观数据
前值,,float64,输出参数,macro_usa_ism_non_pmi,美国宏观数据
前值,,float64,输出参数,macro_usa_nahb_house_market_index,美国宏观数据
前值,,float64,输出参数,macro_usa_house_starts,美国宏观数据
前值,,float64,输出参数,macro_usa_new_home_sales,美国宏观数据
前值,,float64,输出参数,macro_usa_building_permits,美国宏观数据
前值,,float64,输出参数,macro_usa_exist_home_sales,美国宏观数据
前值,,float64,输出参数,macro_usa_house_price_index,美国宏观数据
前值,,float64,输出参数,macro_usa_spcs20,美国宏观数据
前值,,float64,输出参数,macro_usa_pending_home_sales,美国宏观数据
前值,,float64,输出参数,macro_usa_phs,美国宏观数据
前值,,float64,输出参数,macro_usa_cb_consumer_confidence,美国宏观数据
前值,,float64,输出参数,macro_usa_nfib_small_business,美国宏观数据
前值,,float64,输出参数,macro_usa_michigan_consumer_sentiment,美国宏观数据
前值,,float64,输出参数,macro_usa_eia_crude_rate,美国宏观数据
前值,,float64,输出参数,macro_usa_initial_jobless,美国宏观数据
前值,,float64,输出参数,macro_euro_gdp_yoy,欧洲宏观数据
前值,,float64,输出参数,macro_euro_cpi_mom,欧洲宏观数据
前值,,float64,输出参数,macro_euro_cpi_yoy,欧洲宏观数据
前值,,float64,输出参数,macro_euro_ppi_mom,欧洲宏观数据
前值,,float64,输出参数,macro_euro_retail_sales_mom,欧洲宏观数据
前值,,float64,输出参数,macro_euro_employment_change_qoq,欧洲宏观数据
前值,,float64,输出参数,macro_euro_unemployment_rate_mom,欧洲宏观数据
前值,,float64,输出参数,macro_euro_trade_balance,欧洲宏观数据
前值,,float64,输出参数,macro_euro_current_account_mom,欧洲宏观数据
前值,,float64,输出参数,macro_euro_industrial_production_mom,欧洲宏观数据
前值,,float64,输出参数,macro_euro_manufacturing_pmi,欧洲宏观数据
前值,,float64,输出参数,macro_euro_services_pmi,欧洲宏观数据
前值,,float64,输出参数,macro_euro_zew_economic_sentiment,欧洲宏观数据
前值,,float64,输出参数,macro_euro_sentix_investor_confidence,欧洲宏观数据
前值,,float64,输出参数,macro_germany_ifo,其他宏观数据
前值,,float64,输出参数,macro_germany_cpi_monthly,其他宏观数据
前值,,float64,输出参数,macro_germany_cpi_yearly,其他宏观数据
前值,,float64,输出参数,macro_germany_trade_adjusted,贸易数据
前值,,float64,输出参数,macro_germany_gdp,GDP相关
前值,,float64,输出参数,macro_germany_retail_sale_monthly,其他宏观数据
前值,,float64,输出参数,macro_germany_retail_sale_yearly,其他宏观数据
前值,,float64,输出参数,macro_germany_zew,其他宏观数据
前值,,float64,输出参数,macro_swiss_svme,其他宏观数据
前值,,float64,输出参数,macro_swiss_trade,贸易数据
前值,,float64,输出参数,macro_swiss_cpi_yearly,其他宏观数据
前值,,float64,输出参数,macro_swiss_gdp_quarterly,GDP相关
前值,,float64,输出参数,macro_swiss_gbd_yearly,GDP相关
前值,,float64,输出参数,macro_swiss_gbd_bank_rate,中国宏观数据
前值,,float64,输出参数,macro_japan_bank_rate,中国宏观数据
前值,,float64,输出参数,macro_japan_cpi_yearly,日本宏观数据
前值,,float64,输出参数,macro_japan_core_cpi_yearly,日本宏观数据
前值,,float64,输出参数,macro_japan_unemployment_rate,日本宏观数据
前值,,float64,输出参数,macro_japan_head_indicator,日本宏观数据
前值,,float64,输出参数,macro_uk_halifax_monthly,其他宏观数据
前值,,float64,输出参数,macro_uk_halifax_yearly,其他宏观数据
前值,,float64,输出参数,macro_uk_trade,贸易数据
前值,,float64,输出参数,macro_uk_bank_rate,中国宏观数据
前值,,float64,输出参数,macro_uk_core_cpi_yearly,其他宏观数据
前值,,float64,输出参数,macro_uk_core_cpi_monthly,其他宏观数据
前值,,float64,输出参数,macro_uk_cpi_yearly,其他宏观数据
前值,,float64,输出参数,macro_uk_cpi_monthly,其他宏观数据
前值,,float64,输出参数,macro_uk_retail_monthly,其他宏观数据
前值,,float64,输出参数,macro_uk_retail_yearly,其他宏观数据
前值,,float64,输出参数,macro_uk_rightmove_yearly,其他宏观数据
前值,,float64,输出参数,macro_uk_rightmove_monthly,其他宏观数据
前值,,float64,输出参数,macro_uk_gdp_quarterly,GDP相关
前值,,float64,输出参数,macro_uk_gdp_yearly,GDP相关
前值,,float64,输出参数,macro_uk_unemployment_rate,就业数据
前值,,float64,输出参数,macro_australia_retail_rate_monthly,其他宏观数据
前值,,float64,输出参数,macro_australia_trade,贸易数据
前值,,float64,输出参数,macro_australia_unemployment_rate,就业数据
前值,,float64,输出参数,macro_australia_ppi_quarterly,其他宏观数据
前值,,float64,输出参数,macro_australia_cpi_quarterly,其他宏观数据
前值,,float64,输出参数,macro_australia_cpi_yearly,其他宏观数据
前值,,float64,输出参数,macro_australia_bank_rate,中国宏观数据
前值,,float64,输出参数,macro_canada_new_house_rate,其他宏观数据
前值,,float64,输出参数,macro_canada_unemployment_rate,就业数据
前值,,float64,输出参数,macro_canada_trade,贸易数据
前值,,float64,输出参数,macro_canada_retail_rate_monthly,其他宏观数据
前值,,float64,输出参数,macro_canada_bank_rate,中国宏观数据
前值,,float64,输出参数,macro_canada_core_cpi_yearly,其他宏观数据
前值,,float64,输出参数,macro_canada_core_cpi_monthly,其他宏观数据
前值,,float64,输出参数,macro_canada_cpi_yearly,其他宏观数据
前值,,float64,输出参数,macro_canada_cpi_monthly,其他宏观数据
前值,,float64,输出参数,macro_canada_gdp_monthly,GDP相关
前值,,float64,输出参数,macro_info_ws,其他宏观数据
前值,,float64,输出参数,news_economic_baidu,其他宏观数据
加元/人民币_中间价,_,float64,输出参数,macro_china_rmb,中国宏观数据
加元/人民币_涨跌幅,_,float64,输出参数,macro_china_rmb,中国宏观数据
加权平均价,,float64,输出参数,macro_china_au_report,其他宏观数据
加蓬,,float64,输出参数,macro_cons_opec_month,其他宏观数据
募集资金,,float64,输出参数,macro_stock_finance,其他宏观数据
包件,,float,输出参数,macro_china_postal_telecommunicational,中国宏观数据
包件同比增长,,float,输出参数,macro_china_postal_telecommunicational,中国宏观数据
厄瓜多尔,,float64,输出参数,macro_cons_opec_month,其他宏观数据
原保险保费收入,,float64,输出参数,macro_china_insurance,中国宏观数据
原保险赔付支出,,float64,输出参数,macro_china_insurance,中国宏观数据
发布日期,,object,输出参数,macro_china_hk_cpi,中国宏观数据
发布日期,,object,输出参数,macro_china_hk_cpi_ratio,中国宏观数据
发布日期,,object,输出参数,macro_china_hk_rate_of_unemployment,中国宏观数据
发布日期,,object,输出参数,macro_china_hk_gbp,中国宏观数据
发布日期,,object,输出参数,macro_china_hk_gbp_ratio,中国宏观数据
发布日期,,object,输出参数,macro_china_hk_building_volume,中国宏观数据
发布日期,,object,输出参数,macro_china_hk_building_amount,中国宏观数据
发布日期,,object,输出参数,macro_china_hk_trade_diff_ratio,中国宏观数据
发布日期,,object,输出参数,macro_china_hk_ppi,中国宏观数据
发布日期,,object,输出参数,macro_usa_cpi_yoy,美国宏观数据
发布日期,,object,输出参数,macro_usa_phs,美国宏观数据
发布日期,,object,输出参数,macro_germany_ifo,其他宏观数据
发布日期,,object,输出参数,macro_germany_cpi_monthly,其他宏观数据
发布日期,,object,输出参数,macro_germany_cpi_yearly,其他宏观数据
发布日期,,object,输出参数,macro_germany_trade_adjusted,贸易数据
发布日期,,object,输出参数,macro_germany_gdp,GDP相关
发布日期,,object,输出参数,macro_germany_retail_sale_monthly,其他宏观数据
发布日期,,object,输出参数,macro_germany_retail_sale_yearly,其他宏观数据
发布日期,,object,输出参数,macro_germany_zew,其他宏观数据
发布日期,,object,输出参数,macro_swiss_svme,其他宏观数据
发布日期,,object,输出参数,macro_swiss_trade,贸易数据
发布日期,,object,输出参数,macro_swiss_cpi_yearly,其他宏观数据
发布日期,,object,输出参数,macro_swiss_gdp_quarterly,GDP相关
发布日期,,object,输出参数,macro_swiss_gbd_yearly,GDP相关
发布日期,,object,输出参数,macro_swiss_gbd_bank_rate,中国宏观数据
发布日期,,object,输出参数,macro_japan_bank_rate,中国宏观数据
发布日期,,object,输出参数,macro_japan_cpi_yearly,日本宏观数据
发布日期,,object,输出参数,macro_japan_core_cpi_yearly,日本宏观数据
发布日期,,object,输出参数,macro_japan_unemployment_rate,日本宏观数据
发布日期,,object,输出参数,macro_japan_head_indicator,日本宏观数据
发布日期,,object,输出参数,macro_uk_halifax_monthly,其他宏观数据
发布日期,,object,输出参数,macro_uk_halifax_yearly,其他宏观数据
发布日期,,object,输出参数,macro_uk_trade,贸易数据
发布日期,,object,输出参数,macro_uk_bank_rate,中国宏观数据
发布日期,,object,输出参数,macro_uk_core_cpi_yearly,其他宏观数据
发布日期,,object,输出参数,macro_uk_core_cpi_monthly,其他宏观数据
发布日期,,object,输出参数,macro_uk_cpi_yearly,其他宏观数据
发布日期,,object,输出参数,macro_uk_cpi_monthly,其他宏观数据
发布日期,,object,输出参数,macro_uk_retail_monthly,其他宏观数据
发布日期,,object,输出参数,macro_uk_retail_yearly,其他宏观数据
发布日期,,object,输出参数,macro_uk_rightmove_yearly,其他宏观数据
发布日期,,object,输出参数,macro_uk_rightmove_monthly,其他宏观数据
发布日期,,object,输出参数,macro_uk_gdp_quarterly,GDP相关
发布日期,,object,输出参数,macro_uk_gdp_yearly,GDP相关
发布日期,,object,输出参数,macro_uk_unemployment_rate,就业数据
发布日期,,object,输出参数,macro_australia_retail_rate_monthly,其他宏观数据
发布日期,,object,输出参数,macro_australia_trade,贸易数据
发布日期,,object,输出参数,macro_australia_unemployment_rate,就业数据
发布日期,,object,输出参数,macro_australia_ppi_quarterly,其他宏观数据
发布日期,,object,输出参数,macro_australia_cpi_quarterly,其他宏观数据
发布日期,,object,输出参数,macro_australia_cpi_yearly,其他宏观数据
发布日期,,object,输出参数,macro_australia_bank_rate,中国宏观数据
发布日期,,object,输出参数,macro_canada_new_house_rate,其他宏观数据
发布日期,,object,输出参数,macro_canada_unemployment_rate,就业数据
发布日期,,object,输出参数,macro_canada_trade,贸易数据
发布日期,,object,输出参数,macro_canada_retail_rate_monthly,其他宏观数据
发布日期,,object,输出参数,macro_canada_bank_rate,中国宏观数据
发布日期,,object,输出参数,macro_canada_core_cpi_yearly,其他宏观数据
发布日期,,object,输出参数,macro_canada_core_cpi_monthly,其他宏观数据
发布日期,,object,输出参数,macro_canada_cpi_yearly,其他宏观数据
发布日期,,object,输出参数,macro_canada_cpi_monthly,其他宏观数据
发布日期,,object,输出参数,macro_canada_gdp_monthly,GDP相关
发布时间,,object,输出参数,macro_china_gyzjz,中国宏观数据
发行总股本-上海,,float64,输出参数,macro_china_stock_market_cap,其他宏观数据
发行总股本-深圳,,float64,输出参数,macro_china_stock_market_cap,其他宏观数据
发行日期,,object,输出参数,macro_china_bond_public,中国宏观数据
发行货币,,float64,输出参数,macro_china_central_bank_balance,中国宏观数据
各行业用电量合计,,float64,输出参数,macro_china_society_electricity,中国宏观数据
各行业用电量合计同比,,float64,输出参数,macro_china_society_electricity,中国宏观数据
同比增长,,float64,输出参数,macro_china_gyzjz,中国宏观数据
同比增长,,float64,输出参数,macro_china_gdzctz,中国宏观数据
同比增长,,float64,输出参数,macro_china_whxd,其他宏观数据
同比增长,,float64,输出参数,macro_china_wbck,其他宏观数据
同比增长,,float64,输出参数,macro_china_consumer_goods_retail,其他宏观数据
品种,,object,输出参数,macro_usa_cme_merchant_goods_holding,其他宏观数据
商品,,object,输出参数,macro_china_gdp_yearly,中国宏观数据
商品,,object,输出参数,macro_china_cpi_yearly,中国宏观数据
商品,,object,输出参数,macro_china_cpi_monthly,中国宏观数据
商品,,object,输出参数,macro_china_ppi_yearly,中国宏观数据
商品,,object,输出参数,macro_china_exports_yoy,中国宏观数据
商品,,object,输出参数,macro_china_imports_yoy,中国宏观数据
商品,,object,输出参数,macro_china_trade_balance,中国宏观数据
商品,,object,输出参数,macro_china_industrial_production_yoy,中国宏观数据
商品,,object,输出参数,macro_china_pmi_yearly,中国宏观数据
商品,,object,输出参数,macro_china_cx_pmi_yearly,中国宏观数据
商品,,object,输出参数,macro_china_cx_services_pmi_yearly,中国宏观数据
商品,,object,输出参数,macro_china_non_man_pmi,中国宏观数据
商品,,object,输出参数,macro_china_fx_reserves_yearly,中国宏观数据
商品,,object,输出参数,macro_china_m2_yearly,中国宏观数据
商品,,object,输出参数,macro_china_au_report,其他宏观数据
商品,,object,输出参数,macro_usa_gdp_monthly,美国宏观数据
商品,,object,输出参数,macro_usa_cpi_monthly,美国宏观数据
商品,,object,输出参数,macro_usa_core_cpi_monthly,美国宏观数据
商品,,object,输出参数,macro_usa_personal_spending,美国宏观数据
商品,,object,输出参数,macro_usa_retail_sales,美国宏观数据
商品,,object,输出参数,macro_usa_import_price,美国宏观数据
商品,,object,输出参数,macro_usa_export_price,美国宏观数据
商品,,object,输出参数,macro_usa_lmci,其他宏观数据
商品,,object,输出参数,macro_usa_unemployment_rate,美国宏观数据
商品,,object,输出参数,macro_usa_job_cuts,美国宏观数据
商品,,object,输出参数,macro_usa_non_farm,美国宏观数据
商品,,object,输出参数,macro_usa_adp_employment,美国宏观数据
商品,,object,输出参数,macro_usa_core_pce_price,美国宏观数据
商品,,object,输出参数,macro_usa_real_consumer_spending,美国宏观数据
商品,,object,输出参数,macro_usa_trade_balance,美国宏观数据
商品,,object,输出参数,macro_usa_current_account,美国宏观数据
商品,,object,输出参数,macro_usa_ppi,美国宏观数据
商品,,object,输出参数,macro_usa_core_ppi,美国宏观数据
商品,,object,输出参数,macro_usa_api_crude_stock,美国宏观数据
商品,,object,输出参数,macro_usa_pmi,美国宏观数据
商品,,object,输出参数,macro_usa_ism_pmi,美国宏观数据
商品,,object,输出参数,macro_usa_industrial_production,美国宏观数据
商品,,object,输出参数,macro_usa_durable_goods_orders,美国宏观数据
商品,,object,输出参数,macro_usa_factory_orders,美国宏观数据
商品,,object,输出参数,macro_usa_services_pmi,美国宏观数据
商品,,object,输出参数,macro_usa_business_inventories,美国宏观数据
商品,,object,输出参数,macro_usa_ism_non_pmi,美国宏观数据
商品,,object,输出参数,macro_usa_nahb_house_market_index,美国宏观数据
商品,,object,输出参数,macro_usa_house_starts,美国宏观数据
商品,,object,输出参数,macro_usa_new_home_sales,美国宏观数据
商品,,object,输出参数,macro_usa_building_permits,美国宏观数据
商品,,object,输出参数,macro_usa_exist_home_sales,美国宏观数据
商品,,object,输出参数,macro_usa_house_price_index,美国宏观数据
商品,,object,输出参数,macro_usa_spcs20,美国宏观数据
商品,,object,输出参数,macro_usa_pending_home_sales,美国宏观数据
商品,,object,输出参数,macro_usa_cb_consumer_confidence,美国宏观数据
商品,,object,输出参数,macro_usa_nfib_small_business,美国宏观数据
商品,,object,输出参数,macro_usa_michigan_consumer_sentiment,美国宏观数据
商品,,object,输出参数,macro_usa_eia_crude_rate,美国宏观数据
商品,,object,输出参数,macro_usa_initial_jobless,美国宏观数据
商品,,object,输出参数,macro_euro_gdp_yoy,欧洲宏观数据
商品,,object,输出参数,macro_euro_cpi_mom,欧洲宏观数据
商品,,object,输出参数,macro_euro_cpi_yoy,欧洲宏观数据
商品,,object,输出参数,macro_euro_ppi_mom,欧洲宏观数据
商品,,object,输出参数,macro_euro_retail_sales_mom,欧洲宏观数据
商品,,object,输出参数,macro_euro_employment_change_qoq,欧洲宏观数据
商品,,object,输出参数,macro_euro_unemployment_rate_mom,欧洲宏观数据
商品,,object,输出参数,macro_euro_trade_balance,欧洲宏观数据
商品,,object,输出参数,macro_euro_current_account_mom,欧洲宏观数据
商品,,object,输出参数,macro_euro_industrial_production_mom,欧洲宏观数据
商品,,object,输出参数,macro_euro_manufacturing_pmi,欧洲宏观数据
商品,,object,输出参数,macro_euro_services_pmi,欧洲宏观数据
商品,,object,输出参数,macro_euro_zew_economic_sentiment,欧洲宏观数据
商品,,object,输出参数,macro_euro_sentix_investor_confidence,欧洲宏观数据
商品,,object,输出参数,macro_cons_gold,其他宏观数据
商品,,object,输出参数,macro_cons_silver,其他宏观数据
固定电话用,,float,输出参数,macro_china_postal_telecommunicational,中国宏观数据
固定电话用户数同比增长,,float,输出参数,macro_china_postal_telecommunicational,中国宏观数据
国内生产总值-同比增长,,float64,输出参数,macro_china_gdp,中国宏观数据
国内生产总值-绝对值,,float64,输出参数,macro_china_gdp,中国宏观数据
国外负债,,float64,输出参数,macro_china_central_bank_balance,中国宏观数据
国外资产,,float64,输出参数,macro_china_central_bank_balance,中国宏观数据
国家外汇储备,,float64,输出参数,macro_china_foreign_exchange_gold,中国宏观数据
国家外汇储备-同比,,float64,输出参数,macro_china_fx_gold,中国宏观数据
国家外汇储备-数值,,float64,输出参数,macro_china_fx_gold,中国宏观数据
国家外汇储备-环比,,float64,输出参数,macro_china_fx_gold,中国宏观数据
地区,,object,输出参数,macro_info_ws,其他宏观数据
地区,,object,输出参数,news_economic_baidu,其他宏观数据
地方政府,,float64,输出参数,macro_cnbs,中国宏观数据
城乡居民生活用电量合计,,float64,输出参数,macro_china_society_electricity,中国宏观数据
城乡居民生活用电量合计同比,,float64,输出参数,macro_china_society_electricity,中国宏观数据
城市,,object,输出参数,macro_china_new_house_price,中国宏观数据
城市-同比增长,,float64,输出参数,macro_china_cpi,中国宏观数据
城市-当月,,float64,输出参数,macro_china_cpi,中国宏观数据
城市-环比增长,,float64,输出参数,macro_china_cpi,中国宏观数据
城市-累计,,float64,输出参数,macro_china_cpi,中国宏观数据
城市住宅电话用户,,float,输出参数,macro_china_postal_telecommunicational,中国宏观数据
城市住宅电话用户同比增长,,float,输出参数,macro_china_postal_telecommunicational,中国宏观数据
城市电话用户数,,float,输出参数,macro_china_postal_telecommunicational,中国宏观数据
城市电话用户数同比增长,,float,输出参数,macro_china_postal_telecommunicational,中国宏观数据
城镇居民用电量,,float64,输出参数,macro_china_society_electricity,中国宏观数据
城镇居民用电量同比,,float64,输出参数,macro_china_society_electricity,中国宏观数据
增发募集资金,,float64,输出参数,macro_stock_finance,其他宏观数据
增持/减持,,float64,输出参数,macro_cons_gold,其他宏观数据
增持/减持,,float64,输出参数,macro_cons_silver,其他宏观数据
备注,,object,输出参数,macro_china_reserve_requirement_ratio,中国宏观数据
外汇,,float64,输出参数,macro_china_central_bank_balance,中国宏观数据
大型金融机构-调整前,,float64,输出参数,macro_china_reserve_requirement_ratio,中国宏观数据
大型金融机构-调整后,,float64,输出参数,macro_china_reserve_requirement_ratio,中国宏观数据
大型金融机构-调整幅度,,float64,输出参数,macro_china_reserve_requirement_ratio,中国宏观数据
委内瑞拉,,float64,输出参数,macro_cons_opec_month,其他宏观数据
存煤可用天数,,float64,输出参数,macro_china_daily_energy,中国宏观数据
季度,,object,输出参数,macro_china_enterprise_boom_index,中国宏观数据
季度,,object,输出参数,macro_china_national_tax_receipts,中国宏观数据
季度,,object,输出参数,macro_china_gdp,中国宏观数据
季度环比,,float64,输出参数,macro_china_national_tax_receipts,中国宏观数据
安哥拉,,float64,输出参数,macro_cons_opec_month,其他宏观数据
定期存款,,float64,输出参数,macro_china_supply_of_money,中国宏观数据
定期存款同比增长,,float64,输出参数,macro_china_supply_of_money,中国宏观数据
实体经济部门,,float64,输出参数,macro_cnbs,中国宏观数据
客座率,,float64,输出参数,macro_china_passenger_load_factor,中国宏观数据
客运量,,float64,输出参数,macro_china_society_traffic_volume,中国宏观数据
客运量同比增长,,float64,输出参数,macro_china_society_traffic_volume,中国宏观数据
对其他存款性公司债权,,float64,输出参数,macro_china_central_bank_balance,中国宏观数据
对其他金融性公司债权,,float64,输出参数,macro_china_central_bank_balance,中国宏观数据
对政府债权,,float64,输出参数,macro_china_central_bank_balance,中国宏观数据
对金融机构负债,,float64,输出参数,macro_china_central_bank_balance,中国宏观数据
