参数名,参数英文名,类型,参数类型,接口名,接口类型
对非货币金融机构债权,,float64,输出参数,macro_china_central_bank_balance,中国宏观数据
对非金融性公司债权,,float64,输出参数,macro_china_central_bank_balance,中国宏观数据
尼日利亚,,float64,输出参数,macro_cons_opec_month,其他宏观数据
居民消费项目,,object,输出参数,macro_china_retail_price_index,中国宏观数据
居民部门,,float64,输出参数,macro_cnbs,中国宏观数据
市价总值-上海,,float64,输出参数,macro_china_stock_market_cap,其他宏观数据
市价总值-深圳,,float64,输出参数,macro_china_stock_market_cap,其他宏观数据
年份,,object,输出参数,macro_cnbs,中国宏观数据
开盘价,,float64,输出参数,macro_china_au_report,其他宏观数据
当月,,int64,输出参数,macro_china_fdi,中国宏观数据
当月,,float64,输出参数,macro_china_new_financial_credit,中国宏观数据
当月,,float64,输出参数,macro_china_ppi,其他宏观数据
当月,,float64,输出参数,macro_china_gdzctz,中国宏观数据
当月,,float64,输出参数,macro_china_czsr,中国宏观数据
当月,,float64,输出参数,macro_china_whxd,其他宏观数据
当月,,float64,输出参数,macro_china_wbck,其他宏观数据
当月,,float64,输出参数,macro_china_consumer_goods_retail,其他宏观数据
当月-同比增长,,float64,输出参数,macro_china_fdi,中国宏观数据
当月-同比增长,,float64,输出参数,macro_china_new_financial_credit,中国宏观数据
当月-同比增长,,float64,输出参数,macro_china_czsr,中国宏观数据
当月-环比增长,,float64,输出参数,macro_china_fdi,中国宏观数据
当月-环比增长,,float64,输出参数,macro_china_new_financial_credit,中国宏观数据
当月-环比增长,,float64,输出参数,macro_china_czsr,中国宏观数据
当月出口额-同比增长,,float64,输出参数,macro_china_hgjck,中国宏观数据
当月出口额-环比增长,,float64,输出参数,macro_china_hgjck,中国宏观数据
当月出口额-金额,,float64,输出参数,macro_china_hgjck,中国宏观数据
当月同比增长,,float64,输出参数,macro_china_ppi,其他宏观数据
当月进口额-同比增长,,float64,输出参数,macro_china_hgjck,中国宏观数据
当月进口额-环比增长,,float64,输出参数,macro_china_hgjck,中国宏观数据
当月进口额-金额,,float64,输出参数,macro_china_hgjck,中国宏观数据
总价值,,float64,输出参数,macro_cons_gold,其他宏观数据
总价值,,float64,输出参数,macro_cons_silver,其他宏观数据
总库存,,float64,输出参数,macro_cons_gold,其他宏观数据
总库存,,float64,输出参数,macro_cons_silver,其他宏观数据
总指数-同比增长,,float64,输出参数,macro_china_qyspjg,中国宏观数据
总指数-指数值,,float64,输出参数,macro_china_qyspjg,中国宏观数据
总指数-环比增长,,float64,输出参数,macro_china_qyspjg,中国宏观数据
总负债,,float64,输出参数,macro_china_central_bank_balance,中国宏观数据
总资产,,float64,输出参数,macro_china_central_bank_balance,中国宏观数据
成交量,,float64,输出参数,macro_china_au_report,其他宏观数据
成交量,,float64,输出参数,macro_usa_cme_merchant_goods_holding,其他宏观数据
成交量-上海,,float64,输出参数,macro_china_stock_market_cap,其他宏观数据
成交量-深圳,,float64,输出参数,macro_china_stock_market_cap,其他宏观数据
成交金额,,float64,输出参数,macro_china_au_report,其他宏观数据
成交金额-上海,,float64,输出参数,macro_china_stock_market_cap,其他宏观数据
成交金额-深圳,,float64,输出参数,macro_china_stock_market_cap,其他宏观数据
截止日期,,object,输出参数,macro_china_freight_index,中国宏观数据
投资,,float64,输出参数,macro_china_insurance,中国宏观数据
持仓量,,float64,输出参数,macro_china_au_report,其他宏观数据
指标,,object,输出参数,macro_china_international_tourism_fx,中国宏观数据
收盘价,,float64,输出参数,macro_china_au_report,其他宏观数据
政府存款,,float64,输出参数,macro_china_central_bank_balance,中国宏观数据
政府部门,,float64,输出参数,macro_cnbs,中国宏观数据
数据日期,,object,输出参数,macro_china_stock_market_cap,其他宏观数据
数量,,float64,输出参数,macro_china_international_tourism_fx,中国宏观数据
新加坡元/人民币_中间价,_,float64,输出参数,macro_china_rmb,中国宏观数据
新加坡元/人民币_涨跌幅,_,float64,输出参数,macro_china_rmb,中国宏观数据
新增人民币贷款-同比,,object,输出参数,macro_rmb_loan,其他宏观数据
新增人民币贷款-总额,,float64,输出参数,macro_rmb_loan,其他宏观数据
新增人民币贷款-环比,,object,输出参数,macro_rmb_loan,其他宏观数据
新增企业存款-同比,,object,输出参数,macro_rmb_deposit,其他宏观数据
新增企业存款-数量,,float64,输出参数,macro_rmb_deposit,其他宏观数据
新增企业存款-环比,,object,输出参数,macro_rmb_deposit,其他宏观数据
新增储蓄存款-同比,,object,输出参数,macro_rmb_deposit,其他宏观数据
新增储蓄存款-数量,,float64,输出参数,macro_rmb_deposit,其他宏观数据
新增储蓄存款-环比,,object,输出参数,macro_rmb_deposit,其他宏观数据
新增其他存款-同比,,object,输出参数,macro_rmb_deposit,其他宏观数据
新增其他存款-数量,,float64,输出参数,macro_rmb_deposit,其他宏观数据
新增其他存款-环比,,object,输出参数,macro_rmb_deposit,其他宏观数据
新增存款-同比,,object,输出参数,macro_rmb_deposit,其他宏观数据
新增存款-数量,,float64,输出参数,macro_rmb_deposit,其他宏观数据
新增存款-环比,,object,输出参数,macro_rmb_deposit,其他宏观数据
新建商品住宅价格指数-同比,,float64,输出参数,macro_china_new_house_price,中国宏观数据
新建商品住宅价格指数-定基,,float64,输出参数,macro_china_new_house_price,中国宏观数据
新建商品住宅价格指数-环比,,float64,输出参数,macro_china_new_house_price,中国宏观数据
新西兰元/人民币_中间价,_,float64,输出参数,macro_china_rmb,中国宏观数据
新西兰元/人民币_涨跌幅,_,float64,输出参数,macro_china_rmb,中国宏观数据
旅客周转量,,float64,输出参数,macro_china_society_traffic_volume,中国宏观数据
无,,,输入参数,macro_cnbs,中国宏观数据
无,,,输入参数,macro_china_qyspjg,中国宏观数据
无,,,输入参数,macro_china_fdi,中国宏观数据
无,,,输入参数,macro_china_lpr,中国宏观数据
无,,,输入参数,macro_china_urban_unemployment,中国宏观数据
无,,,输入参数,macro_china_shrzgm,贸易数据
无,,,输入参数,macro_china_gdp_yearly,中国宏观数据
无,,,输入参数,macro_china_cpi_yearly,中国宏观数据
无,,,输入参数,macro_china_cpi_monthly,中国宏观数据
无,,,输入参数,macro_china_ppi_yearly,中国宏观数据
无,,,输入参数,macro_china_exports_yoy,中国宏观数据
无,,,输入参数,macro_china_imports_yoy,中国宏观数据
无,,,输入参数,macro_china_trade_balance,中国宏观数据
无,,,输入参数,macro_china_gyzjz,中国宏观数据
无,,,输入参数,macro_china_industrial_production_yoy,中国宏观数据
无,,,输入参数,macro_china_pmi_yearly,中国宏观数据
无,,,输入参数,macro_china_cx_pmi_yearly,中国宏观数据
无,,,输入参数,macro_china_cx_services_pmi_yearly,中国宏观数据
无,,,输入参数,macro_china_non_man_pmi,中国宏观数据
无,,,输入参数,macro_china_fx_reserves_yearly,中国宏观数据
无,,,输入参数,macro_china_m2_yearly,中国宏观数据
无,,,输入参数,macro_china_enterprise_boom_index,中国宏观数据
无,,,输入参数,macro_china_national_tax_receipts,中国宏观数据
无,,,输入参数,macro_china_bank_financing,其他宏观数据
无,,,输入参数,macro_china_insurance_income,其他宏观数据
无,,,输入参数,macro_china_mobile_number,其他宏观数据
无,,,输入参数,macro_china_vegetable_basket,其他宏观数据
无,,,输入参数,macro_china_agricultural_product,其他宏观数据
无,,,输入参数,macro_china_agricultural_index,其他宏观数据
无,,,输入参数,macro_china_energy_index,其他宏观数据
无,,,输入参数,macro_china_commodity_price_index,其他宏观数据
无,,,输入参数,macro_global_sox_index,其他宏观数据
无,,,输入参数,macro_china_yw_electronic_index,其他宏观数据
无,,,输入参数,macro_china_construction_index,其他宏观数据
无,,,输入参数,macro_china_construction_price_index,其他宏观数据
无,,,输入参数,macro_china_lpi_index,其他宏观数据
无,,,输入参数,macro_china_bdti_index,其他宏观数据
无,,,输入参数,macro_china_bsi_index,其他宏观数据
无,,,输入参数,macro_shipping_bci,其他宏观数据
无,,,输入参数,macro_shipping_bdi,其他宏观数据
无,,,输入参数,macro_shipping_bpi,其他宏观数据
无,,,输入参数,macro_shipping_bcti,其他宏观数据
无,,,输入参数,macro_china_new_financial_credit,中国宏观数据
无,,,输入参数,macro_china_cpi,中国宏观数据
无,,,输入参数,macro_china_gdp,中国宏观数据
无,,,输入参数,macro_china_ppi,其他宏观数据
无,,,输入参数,macro_china_pmi,其他宏观数据
无,,,输入参数,macro_china_gdzctz,中国宏观数据
无,,,输入参数,macro_china_hgjck,中国宏观数据
无,,,输入参数,macro_china_czsr,中国宏观数据
无,,,输入参数,macro_china_whxd,其他宏观数据
无,,,输入参数,macro_china_wbck,其他宏观数据
无,,,输入参数,macro_china_bond_public,中国宏观数据
无,,,输入参数,macro_china_xfzxx,其他宏观数据
无,,,输入参数,macro_china_reserve_requirement_ratio,中国宏观数据
无,,,输入参数,macro_china_consumer_goods_retail,其他宏观数据
无,,,输入参数,macro_china_society_electricity,中国宏观数据
无,,,输入参数,macro_china_society_traffic_volume,中国宏观数据
无,,,输入参数,macro_china_postal_telecommunicational,中国宏观数据
无,,,输入参数,macro_china_international_tourism_fx,中国宏观数据
无,,,输入参数,macro_china_passenger_load_factor,中国宏观数据
无,,,输入参数,macro_china_freight_index,中国宏观数据
无,,,输入参数,macro_china_central_bank_balance,中国宏观数据
无,,,输入参数,macro_china_insurance,中国宏观数据
无,,,输入参数,macro_china_supply_of_money,中国宏观数据
无,,,输入参数,macro_china_foreign_exchange_gold,中国宏观数据
无,,,输入参数,macro_china_retail_price_index,中国宏观数据
无,,,输入参数,macro_china_real_estate,中国宏观数据
无,,,输入参数,macro_china_fx_gold,中国宏观数据
无,,,输入参数,macro_china_money_supply,中国宏观数据
无,,,输入参数,macro_china_stock_market_cap,其他宏观数据
无,,,输入参数,macro_china_shibor_all,其他宏观数据
无,,,输入参数,macro_china_hk_market_info,其他宏观数据
无,,,输入参数,macro_china_daily_energy,中国宏观数据
无,,,输入参数,macro_china_rmb,中国宏观数据
无,,,输入参数,macro_china_market_margin_sz,其他宏观数据
无,,,输入参数,macro_china_market_margin_sh,其他宏观数据
无,,,输入参数,macro_china_au_report,其他宏观数据
无,,,输入参数,macro_stock_finance,其他宏观数据
无,,,输入参数,macro_rmb_loan,其他宏观数据
无,,,输入参数,macro_rmb_deposit,其他宏观数据
无,,,输入参数,macro_china_hk_cpi,中国宏观数据
无,,,输入参数,macro_china_hk_cpi_ratio,中国宏观数据
无,,,输入参数,macro_china_hk_rate_of_unemployment,中国宏观数据
无,,,输入参数,macro_china_hk_gbp,中国宏观数据
无,,,输入参数,macro_china_hk_gbp_ratio,中国宏观数据
无,,,输入参数,macro_china_hk_building_volume,中国宏观数据
无,,,输入参数,macro_china_hk_building_amount,中国宏观数据
无,,,输入参数,macro_china_hk_trade_diff_ratio,中国宏观数据
无,,,输入参数,macro_china_hk_ppi,中国宏观数据
无,,,输入参数,macro_usa_gdp_monthly,美国宏观数据
无,,,输入参数,macro_usa_cpi_monthly,美国宏观数据
无,,,输入参数,macro_usa_cpi_yoy,美国宏观数据
无,,,输入参数,macro_usa_core_cpi_monthly,美国宏观数据
无,,,输入参数,macro_usa_personal_spending,美国宏观数据
无,,,输入参数,macro_usa_retail_sales,美国宏观数据
无,,,输入参数,macro_usa_import_price,美国宏观数据
无,,,输入参数,macro_usa_export_price,美国宏观数据
无,,,输入参数,macro_usa_lmci,其他宏观数据
无,,,输入参数,macro_usa_unemployment_rate,美国宏观数据
无,,,输入参数,macro_usa_job_cuts,美国宏观数据
无,,,输入参数,macro_usa_non_farm,美国宏观数据
无,,,输入参数,macro_usa_adp_employment,美国宏观数据
无,,,输入参数,macro_usa_core_pce_price,美国宏观数据
无,,,输入参数,macro_usa_real_consumer_spending,美国宏观数据
无,,,输入参数,macro_usa_trade_balance,美国宏观数据
无,,,输入参数,macro_usa_current_account,美国宏观数据
无,,,输入参数,macro_usa_rig_count,其他宏观数据
无,,,输入参数,macro_usa_ppi,美国宏观数据
无,,,输入参数,macro_usa_core_ppi,美国宏观数据
无,,,输入参数,macro_usa_api_crude_stock,美国宏观数据
无,,,输入参数,macro_usa_pmi,美国宏观数据
无,,,输入参数,macro_usa_ism_pmi,美国宏观数据
无,,,输入参数,macro_usa_industrial_production,美国宏观数据
无,,,输入参数,macro_usa_durable_goods_orders,美国宏观数据
无,,,输入参数,macro_usa_factory_orders,美国宏观数据
无,,,输入参数,macro_usa_services_pmi,美国宏观数据
无,,,输入参数,macro_usa_business_inventories,美国宏观数据
无,,,输入参数,macro_usa_ism_non_pmi,美国宏观数据
无,,,输入参数,macro_usa_nahb_house_market_index,美国宏观数据
无,,,输入参数,macro_usa_house_starts,美国宏观数据
无,,,输入参数,macro_usa_new_home_sales,美国宏观数据
无,,,输入参数,macro_usa_building_permits,美国宏观数据
无,,,输入参数,macro_usa_exist_home_sales,美国宏观数据
无,,,输入参数,macro_usa_house_price_index,美国宏观数据
无,,,输入参数,macro_usa_spcs20,美国宏观数据
无,,,输入参数,macro_usa_pending_home_sales,美国宏观数据
无,,,输入参数,macro_usa_phs,美国宏观数据
无,,,输入参数,macro_usa_cb_consumer_confidence,美国宏观数据
无,,,输入参数,macro_usa_nfib_small_business,美国宏观数据
无,,,输入参数,macro_usa_michigan_consumer_sentiment,美国宏观数据
无,,,输入参数,macro_usa_eia_crude_rate,美国宏观数据
无,,,输入参数,macro_usa_initial_jobless,美国宏观数据
无,,,输入参数,macro_usa_crude_inner,美国宏观数据
无,,,输入参数,macro_euro_gdp_yoy,欧洲宏观数据
无,,,输入参数,macro_euro_cpi_mom,欧洲宏观数据
无,,,输入参数,macro_euro_cpi_yoy,欧洲宏观数据
无,,,输入参数,macro_euro_ppi_mom,欧洲宏观数据
无,,,输入参数,macro_euro_retail_sales_mom,欧洲宏观数据
无,,,输入参数,macro_euro_employment_change_qoq,欧洲宏观数据
无,,,输入参数,macro_euro_unemployment_rate_mom,欧洲宏观数据
无,,,输入参数,macro_euro_trade_balance,欧洲宏观数据
无,,,输入参数,macro_euro_current_account_mom,欧洲宏观数据
无,,,输入参数,macro_euro_industrial_production_mom,欧洲宏观数据
无,,,输入参数,macro_euro_manufacturing_pmi,欧洲宏观数据
无,,,输入参数,macro_euro_services_pmi,欧洲宏观数据
无,,,输入参数,macro_euro_zew_economic_sentiment,欧洲宏观数据
无,,,输入参数,macro_euro_sentix_investor_confidence,欧洲宏观数据
无,,,输入参数,macro_germany_ifo,其他宏观数据
无,,,输入参数,macro_germany_cpi_monthly,其他宏观数据
无,,,输入参数,macro_germany_cpi_yearly,其他宏观数据
无,,,输入参数,macro_germany_trade_adjusted,贸易数据
无,,,输入参数,macro_germany_gdp,GDP相关
无,,,输入参数,macro_germany_retail_sale_monthly,其他宏观数据
无,,,输入参数,macro_germany_retail_sale_yearly,其他宏观数据
无,,,输入参数,macro_germany_zew,其他宏观数据
无,,,输入参数,macro_swiss_svme,其他宏观数据
无,,,输入参数,macro_swiss_trade,贸易数据
无,,,输入参数,macro_swiss_cpi_yearly,其他宏观数据
无,,,输入参数,macro_swiss_gdp_quarterly,GDP相关
无,,,输入参数,macro_swiss_gbd_yearly,GDP相关
无,,,输入参数,macro_swiss_gbd_bank_rate,中国宏观数据
无,,,输入参数,macro_japan_bank_rate,中国宏观数据
无,,,输入参数,macro_japan_cpi_yearly,日本宏观数据
无,,,输入参数,macro_japan_core_cpi_yearly,日本宏观数据
无,,,输入参数,macro_japan_unemployment_rate,日本宏观数据
无,,,输入参数,macro_japan_head_indicator,日本宏观数据
无,,,输入参数,macro_uk_halifax_monthly,其他宏观数据
无,,,输入参数,macro_uk_halifax_yearly,其他宏观数据
无,,,输入参数,macro_uk_trade,贸易数据
无,,,输入参数,macro_uk_bank_rate,中国宏观数据
无,,,输入参数,macro_uk_core_cpi_yearly,其他宏观数据
无,,,输入参数,macro_uk_core_cpi_monthly,其他宏观数据
无,,,输入参数,macro_uk_cpi_yearly,其他宏观数据
无,,,输入参数,macro_uk_cpi_monthly,其他宏观数据
无,,,输入参数,macro_uk_retail_monthly,其他宏观数据
无,,,输入参数,macro_uk_retail_yearly,其他宏观数据
无,,,输入参数,macro_uk_rightmove_yearly,其他宏观数据
无,,,输入参数,macro_uk_rightmove_monthly,其他宏观数据
无,,,输入参数,macro_uk_gdp_quarterly,GDP相关
无,,,输入参数,macro_uk_gdp_yearly,GDP相关
无,,,输入参数,macro_uk_unemployment_rate,就业数据
无,,,输入参数,macro_australia_retail_rate_monthly,其他宏观数据
无,,,输入参数,macro_australia_trade,贸易数据
无,,,输入参数,macro_australia_unemployment_rate,就业数据
无,,,输入参数,macro_australia_ppi_quarterly,其他宏观数据
无,,,输入参数,macro_australia_cpi_quarterly,其他宏观数据
无,,,输入参数,macro_australia_cpi_yearly,其他宏观数据
无,,,输入参数,macro_australia_bank_rate,中国宏观数据
无,,,输入参数,macro_canada_new_house_rate,其他宏观数据
无,,,输入参数,macro_canada_unemployment_rate,就业数据
无,,,输入参数,macro_canada_trade,贸易数据
无,,,输入参数,macro_canada_retail_rate_monthly,其他宏观数据
无,,,输入参数,macro_canada_bank_rate,中国宏观数据
无,,,输入参数,macro_canada_core_cpi_yearly,其他宏观数据
无,,,输入参数,macro_canada_core_cpi_monthly,其他宏观数据
无,,,输入参数,macro_canada_cpi_yearly,其他宏观数据
无,,,输入参数,macro_canada_cpi_monthly,其他宏观数据
无,,,输入参数,macro_canada_gdp_monthly,GDP相关
无,,,输入参数,macro_cons_gold,其他宏观数据
无,,,输入参数,macro_cons_silver,其他宏观数据
无,,,输入参数,macro_cons_opec_month,其他宏观数据
无,,,输入参数,macro_euro_lme_holding,其他宏观数据
无,,,输入参数,macro_euro_lme_stock,其他宏观数据
无,,,输入参数,macro_usa_cftc_nc_holding,美国宏观数据
无,,,输入参数,macro_usa_cftc_c_holding,美国宏观数据
无,,,输入参数,macro_usa_cftc_merchant_currency_holding,美国宏观数据
无,,,输入参数,macro_usa_cftc_merchant_goods_holding,美国宏观数据
无,,,输入参数,macro_usa_cme_merchant_goods_holding,其他宏观数据
无线寻呼用户数,,float,输出参数,macro_china_postal_telecommunicational,中国宏观数据
无线寻呼用户数同比增长,,float,输出参数,macro_china_postal_telecommunicational,中国宏观数据
日期,,object,输出参数,macro_china_gdp_yearly,中国宏观数据
日期,,object,输出参数,macro_china_cpi_yearly,中国宏观数据
日期,,object,输出参数,macro_china_cpi_monthly,中国宏观数据
日期,,object,输出参数,macro_china_ppi_yearly,中国宏观数据
日期,,object,输出参数,macro_china_exports_yoy,中国宏观数据
日期,,object,输出参数,macro_china_imports_yoy,中国宏观数据
日期,,object,输出参数,macro_china_trade_balance,中国宏观数据
日期,,object,输出参数,macro_china_industrial_production_yoy,中国宏观数据
日期,,object,输出参数,macro_china_pmi_yearly,中国宏观数据
日期,,object,输出参数,macro_china_cx_pmi_yearly,中国宏观数据
日期,,object,输出参数,macro_china_cx_services_pmi_yearly,中国宏观数据
日期,,object,输出参数,macro_china_non_man_pmi,中国宏观数据
日期,,object,输出参数,macro_china_fx_reserves_yearly,中国宏观数据
日期,,object,输出参数,macro_china_m2_yearly,中国宏观数据
日期,,object,输出参数,macro_china_new_house_price,中国宏观数据
日期,,object,输出参数,macro_china_bank_financing,其他宏观数据
日期,,object,输出参数,macro_china_insurance_income,其他宏观数据
日期,,object,输出参数,macro_china_mobile_number,其他宏观数据
日期,,object,输出参数,macro_china_vegetable_basket,其他宏观数据
日期,,object,输出参数,macro_china_agricultural_product,其他宏观数据
日期,,object,输出参数,macro_china_agricultural_index,其他宏观数据
日期,,object,输出参数,macro_china_energy_index,其他宏观数据
日期,,object,输出参数,macro_china_commodity_price_index,其他宏观数据
日期,,object,输出参数,macro_global_sox_index,其他宏观数据
日期,,object,输出参数,macro_china_yw_electronic_index,其他宏观数据
日期,,object,输出参数,macro_china_construction_index,其他宏观数据
日期,,object,输出参数,macro_china_construction_price_index,其他宏观数据
日期,,object,输出参数,macro_china_lpi_index,其他宏观数据
日期,,object,输出参数,macro_china_bdti_index,其他宏观数据
日期,,object,输出参数,macro_china_bsi_index,其他宏观数据
日期,,object,输出参数,macro_shipping_bci,其他宏观数据
日期,,object,输出参数,macro_shipping_bdi,其他宏观数据
日期,,object,输出参数,macro_shipping_bpi,其他宏观数据
日期,,object,输出参数,macro_shipping_bcti,其他宏观数据
日期,,object,输出参数,macro_china_swap_rate,中国宏观数据
日期,,object,输出参数,macro_china_real_estate,中国宏观数据
日期,,object,输出参数,macro_china_shibor_all,其他宏观数据
日期,,object,输出参数,macro_china_hk_market_info,其他宏观数据
日期,,object,输出参数,macro_china_daily_energy,中国宏观数据
日期,,object,输出参数,macro_china_rmb,中国宏观数据
日期,,object,输出参数,macro_china_market_margin_sz,其他宏观数据
日期,,object,输出参数,macro_china_market_margin_sh,其他宏观数据
日期,,object,输出参数,macro_china_au_report,其他宏观数据
日期,,object,输出参数,macro_usa_gdp_monthly,美国宏观数据
日期,,object,输出参数,macro_usa_cpi_monthly,美国宏观数据
日期,,object,输出参数,macro_usa_core_cpi_monthly,美国宏观数据
日期,,object,输出参数,macro_usa_personal_spending,美国宏观数据
日期,,object,输出参数,macro_usa_retail_sales,美国宏观数据
日期,,object,输出参数,macro_usa_import_price,美国宏观数据
日期,,object,输出参数,macro_usa_export_price,美国宏观数据
日期,,object,输出参数,macro_usa_lmci,其他宏观数据
日期,,object,输出参数,macro_usa_unemployment_rate,美国宏观数据
日期,,object,输出参数,macro_usa_job_cuts,美国宏观数据
日期,,object,输出参数,macro_usa_non_farm,美国宏观数据
日期,,object,输出参数,macro_usa_adp_employment,美国宏观数据
日期,,object,输出参数,macro_usa_core_pce_price,美国宏观数据
日期,,object,输出参数,macro_usa_real_consumer_spending,美国宏观数据
日期,,object,输出参数,macro_usa_trade_balance,美国宏观数据
日期,,object,输出参数,macro_usa_current_account,美国宏观数据
日期,,object,输出参数,macro_usa_rig_count,其他宏观数据
日期,,object,输出参数,macro_usa_ppi,美国宏观数据
日期,,object,输出参数,macro_usa_core_ppi,美国宏观数据
日期,,object,输出参数,macro_usa_api_crude_stock,美国宏观数据
日期,,object,输出参数,macro_usa_pmi,美国宏观数据
日期,,object,输出参数,macro_usa_ism_pmi,美国宏观数据
日期,,object,输出参数,macro_usa_industrial_production,美国宏观数据
日期,,object,输出参数,macro_usa_durable_goods_orders,美国宏观数据
