参数名,参数英文名,类型,参数类型,接口名,接口类型
日期,,object,输出参数,macro_usa_factory_orders,美国宏观数据
日期,,object,输出参数,macro_usa_services_pmi,美国宏观数据
日期,,object,输出参数,macro_usa_business_inventories,美国宏观数据
日期,,object,输出参数,macro_usa_ism_non_pmi,美国宏观数据
日期,,object,输出参数,macro_usa_nahb_house_market_index,美国宏观数据
日期,,object,输出参数,macro_usa_house_starts,美国宏观数据
日期,,object,输出参数,macro_usa_new_home_sales,美国宏观数据
日期,,object,输出参数,macro_usa_building_permits,美国宏观数据
日期,,object,输出参数,macro_usa_exist_home_sales,美国宏观数据
日期,,object,输出参数,macro_usa_house_price_index,美国宏观数据
日期,,object,输出参数,macro_usa_spcs20,美国宏观数据
日期,,object,输出参数,macro_usa_pending_home_sales,美国宏观数据
日期,,object,输出参数,macro_usa_cb_consumer_confidence,美国宏观数据
日期,,object,输出参数,macro_usa_nfib_small_business,美国宏观数据
日期,,object,输出参数,macro_usa_michigan_consumer_sentiment,美国宏观数据
日期,,object,输出参数,macro_usa_eia_crude_rate,美国宏观数据
日期,,object,输出参数,macro_usa_initial_jobless,美国宏观数据
日期,,object,输出参数,macro_usa_crude_inner,美国宏观数据
日期,,object,输出参数,macro_euro_gdp_yoy,欧洲宏观数据
日期,,object,输出参数,macro_euro_cpi_mom,欧洲宏观数据
日期,,object,输出参数,macro_euro_cpi_yoy,欧洲宏观数据
日期,,object,输出参数,macro_euro_ppi_mom,欧洲宏观数据
日期,,object,输出参数,macro_euro_retail_sales_mom,欧洲宏观数据
日期,,object,输出参数,macro_euro_employment_change_qoq,欧洲宏观数据
日期,,object,输出参数,macro_euro_unemployment_rate_mom,欧洲宏观数据
日期,,object,输出参数,macro_euro_trade_balance,欧洲宏观数据
日期,,object,输出参数,macro_euro_current_account_mom,欧洲宏观数据
日期,,object,输出参数,macro_euro_industrial_production_mom,欧洲宏观数据
日期,,object,输出参数,macro_euro_manufacturing_pmi,欧洲宏观数据
日期,,object,输出参数,macro_euro_services_pmi,欧洲宏观数据
日期,,object,输出参数,macro_euro_zew_economic_sentiment,欧洲宏观数据
日期,,object,输出参数,macro_euro_sentix_investor_confidence,欧洲宏观数据
日期,,object,输出参数,macro_cons_gold,其他宏观数据
日期,,object,输出参数,macro_cons_silver,其他宏观数据
日期,,object,输出参数,macro_cons_opec_month,其他宏观数据
日期,,-,输出参数,macro_euro_lme_holding,其他宏观数据
日期,,-,输出参数,macro_euro_lme_stock,其他宏观数据
日期,,object,输出参数,macro_usa_cftc_nc_holding,美国宏观数据
日期,,object,输出参数,macro_usa_cftc_c_holding,美国宏观数据
日期,,object,输出参数,macro_usa_cftc_merchant_currency_holding,美国宏观数据
日期,,object,输出参数,macro_usa_cftc_merchant_goods_holding,美国宏观数据
日期,,object,输出参数,macro_usa_cme_merchant_goods_holding,其他宏观数据
日期,,object,输出参数,news_economic_baidu,其他宏观数据
日耗,,float64,输出参数,macro_china_daily_energy,中国宏观数据
时刻,,object,输出参数,macro_china_swap_rate,中国宏观数据
时间,,object,输出参数,macro_china_hk_cpi,中国宏观数据
时间,,object,输出参数,macro_china_hk_cpi_ratio,中国宏观数据
时间,,object,输出参数,macro_china_hk_rate_of_unemployment,中国宏观数据
时间,,object,输出参数,macro_china_hk_gbp,中国宏观数据
时间,,object,输出参数,macro_china_hk_gbp_ratio,中国宏观数据
时间,,object,输出参数,macro_china_hk_building_volume,中国宏观数据
时间,,object,输出参数,macro_china_hk_building_amount,中国宏观数据
时间,,object,输出参数,macro_china_hk_trade_diff_ratio,中国宏观数据
时间,,object,输出参数,macro_china_hk_ppi,中国宏观数据
时间,,object,输出参数,macro_usa_cpi_yoy,美国宏观数据
时间,,object,输出参数,macro_usa_phs,美国宏观数据
时间,,object,输出参数,macro_germany_ifo,其他宏观数据
时间,,object,输出参数,macro_germany_cpi_monthly,其他宏观数据
时间,,object,输出参数,macro_germany_cpi_yearly,其他宏观数据
时间,,object,输出参数,macro_germany_trade_adjusted,贸易数据
时间,,object,输出参数,macro_germany_gdp,GDP相关
时间,,object,输出参数,macro_germany_retail_sale_monthly,其他宏观数据
时间,,object,输出参数,macro_germany_retail_sale_yearly,其他宏观数据
时间,,object,输出参数,macro_germany_zew,其他宏观数据
时间,,object,输出参数,macro_swiss_svme,其他宏观数据
时间,,object,输出参数,macro_swiss_trade,贸易数据
时间,,object,输出参数,macro_swiss_cpi_yearly,其他宏观数据
时间,,object,输出参数,macro_swiss_gdp_quarterly,GDP相关
时间,,object,输出参数,macro_swiss_gbd_yearly,GDP相关
时间,,object,输出参数,macro_swiss_gbd_bank_rate,中国宏观数据
时间,,object,输出参数,macro_japan_bank_rate,中国宏观数据
时间,,object,输出参数,macro_japan_cpi_yearly,日本宏观数据
时间,,object,输出参数,macro_japan_core_cpi_yearly,日本宏观数据
时间,,object,输出参数,macro_japan_unemployment_rate,日本宏观数据
时间,,object,输出参数,macro_japan_head_indicator,日本宏观数据
时间,,object,输出参数,macro_uk_halifax_monthly,其他宏观数据
时间,,object,输出参数,macro_uk_halifax_yearly,其他宏观数据
时间,,object,输出参数,macro_uk_trade,贸易数据
时间,,object,输出参数,macro_uk_bank_rate,中国宏观数据
时间,,object,输出参数,macro_uk_core_cpi_yearly,其他宏观数据
时间,,object,输出参数,macro_uk_core_cpi_monthly,其他宏观数据
时间,,object,输出参数,macro_uk_cpi_yearly,其他宏观数据
时间,,object,输出参数,macro_uk_cpi_monthly,其他宏观数据
时间,,object,输出参数,macro_uk_retail_monthly,其他宏观数据
时间,,object,输出参数,macro_uk_retail_yearly,其他宏观数据
时间,,object,输出参数,macro_uk_rightmove_yearly,其他宏观数据
时间,,object,输出参数,macro_uk_rightmove_monthly,其他宏观数据
时间,,object,输出参数,macro_uk_gdp_quarterly,GDP相关
时间,,object,输出参数,macro_uk_gdp_yearly,GDP相关
时间,,object,输出参数,macro_uk_unemployment_rate,就业数据
时间,,object,输出参数,macro_australia_retail_rate_monthly,其他宏观数据
时间,,object,输出参数,macro_australia_trade,贸易数据
时间,,object,输出参数,macro_australia_unemployment_rate,就业数据
时间,,object,输出参数,macro_australia_ppi_quarterly,其他宏观数据
时间,,object,输出参数,macro_australia_cpi_quarterly,其他宏观数据
时间,,object,输出参数,macro_australia_cpi_yearly,其他宏观数据
时间,,object,输出参数,macro_australia_bank_rate,中国宏观数据
时间,,object,输出参数,macro_canada_new_house_rate,其他宏观数据
时间,,object,输出参数,macro_canada_unemployment_rate,就业数据
时间,,object,输出参数,macro_canada_trade,贸易数据
时间,,object,输出参数,macro_canada_retail_rate_monthly,其他宏观数据
时间,,object,输出参数,macro_canada_bank_rate,中国宏观数据
时间,,object,输出参数,macro_canada_core_cpi_yearly,其他宏观数据
时间,,object,输出参数,macro_canada_core_cpi_monthly,其他宏观数据
时间,,object,输出参数,macro_canada_cpi_yearly,其他宏观数据
时间,,object,输出参数,macro_canada_cpi_monthly,其他宏观数据
时间,,object,输出参数,macro_canada_gdp_monthly,GDP相关
时间,,object,输出参数,macro_info_ws,其他宏观数据
时间,,object,输出参数,news_economic_baidu,其他宏观数据
曲线名称,,object,输出参数,macro_china_swap_rate,中国宏观数据
最低价,,float64,输出参数,macro_china_au_report,其他宏观数据
最新值,,int64,输出参数,macro_china_bank_financing,其他宏观数据
最新值,,int64,输出参数,macro_china_insurance_income,其他宏观数据
最新值,,int64,输出参数,macro_china_mobile_number,其他宏观数据
最新值,,int64,输出参数,macro_china_vegetable_basket,其他宏观数据
最新值,,int64,输出参数,macro_china_agricultural_product,其他宏观数据
最新值,,int64,输出参数,macro_china_agricultural_index,其他宏观数据
最新值,,int64,输出参数,macro_china_energy_index,其他宏观数据
最新值,,int64,输出参数,macro_china_commodity_price_index,其他宏观数据
最新值,,int64,输出参数,macro_global_sox_index,其他宏观数据
最新值,,int64,输出参数,macro_china_yw_electronic_index,其他宏观数据
最新值,,int64,输出参数,macro_china_construction_index,其他宏观数据
最新值,,int64,输出参数,macro_china_construction_price_index,其他宏观数据
最新值,,int64,输出参数,macro_china_lpi_index,其他宏观数据
最新值,,int64,输出参数,macro_china_bdti_index,其他宏观数据
最新值,,int64,输出参数,macro_china_bsi_index,其他宏观数据
最新值,,int64,输出参数,macro_shipping_bci,其他宏观数据
最新值,,int64,输出参数,macro_shipping_bdi,其他宏观数据
最新值,,int64,输出参数,macro_shipping_bpi,其他宏观数据
最新值,,int64,输出参数,macro_shipping_bcti,其他宏观数据
最新值,,float64,输出参数,macro_china_real_estate,中国宏观数据
最高价,,float64,输出参数,macro_china_au_report,其他宏观数据
月份,,object,输出参数,macro_china_qyspjg,中国宏观数据
月份,,object,输出参数,macro_china_fdi,中国宏观数据
月份,,object,输出参数,macro_china_shrzgm,贸易数据
月份,,object,输出参数,macro_china_gyzjz,中国宏观数据
月份,,object,输出参数,macro_china_new_financial_credit,中国宏观数据
月份,,object,输出参数,macro_china_cpi,中国宏观数据
月份,,object,输出参数,macro_china_ppi,其他宏观数据
月份,,object,输出参数,macro_china_pmi,其他宏观数据
月份,,object,输出参数,macro_china_gdzctz,中国宏观数据
月份,,object,输出参数,macro_china_hgjck,中国宏观数据
月份,,object,输出参数,macro_china_czsr,中国宏观数据
月份,,object,输出参数,macro_china_whxd,其他宏观数据
月份,,object,输出参数,macro_china_wbck,其他宏观数据
月份,,object,输出参数,macro_china_xfzxx,其他宏观数据
月份,,object,输出参数,macro_china_consumer_goods_retail,其他宏观数据
月份,,object,输出参数,macro_china_fx_gold,中国宏观数据
月份,,object,输出参数,macro_china_money_supply,中国宏观数据
月份,,object,输出参数,macro_stock_finance,其他宏观数据
月份,,object,输出参数,macro_rmb_loan,其他宏观数据
月份,,object,输出参数,macro_rmb_deposit,其他宏观数据
本地电话期末用户数,,float,输出参数,macro_china_postal_telecommunicational,中国宏观数据
本地电话期末用户数同比增长,,float,输出参数,macro_china_postal_telecommunicational,中国宏观数据
欧佩克产量,,float64,输出参数,macro_cons_opec_month,其他宏观数据
欧元/人民币_中间价,_,float64,输出参数,macro_china_rmb,中国宏观数据
欧元/人民币_涨跌幅,_,float64,输出参数,macro_china_rmb,中国宏观数据
比重,,float64,输出参数,macro_china_international_tourism_fx,中国宏观数据
民航总周转量,,float64,输出参数,macro_china_society_traffic_volume,中国宏观数据
汇票,,float,输出参数,macro_china_postal_telecommunicational,中国宏观数据
汇票同比增长,,float,输出参数,macro_china_postal_telecommunicational,中国宏观数据
沙特,,float64,输出参数,macro_cons_opec_month,其他宏观数据
油轮运价指数原油运价指数BDTI,BDTI,float64,输出参数,macro_china_freight_index,中国宏观数据
油轮运价指数成品油运价指数BCTI,BCTI,float64,输出参数,macro_china_freight_index,中国宏观数据
沿海主要港口货物吞吐量,,float64,输出参数,macro_china_society_traffic_volume,中国宏观数据
沿海主要港口货物吞吐量同比增长,,float64,输出参数,macro_china_society_traffic_volume,中国宏观数据
沿海六大电库存,,float64,输出参数,macro_china_daily_energy,中国宏观数据
波罗的海好望角型船运价指数BCI,BCI,float64,输出参数,macro_china_freight_index,中国宏观数据
波罗的海综合运价指数BDI,BDI,float64,输出参数,macro_china_freight_index,中国宏观数据
波罗的海超级大灵便型船BSI指数,BSI,float64,输出参数,macro_china_freight_index,中国宏观数据
活期存款,,float64,输出参数,macro_china_central_bank_balance,中国宏观数据
活期存款,,float64,输出参数,macro_china_supply_of_money,中国宏观数据
活期存款同比增长,,float64,输出参数,macro_china_supply_of_money,中国宏观数据
流通中现金(M0),M0,float64,输出参数,macro_china_supply_of_money,中国宏观数据
流通中现金(M0)同比增长,M0,float64,输出参数,macro_china_supply_of_money,中国宏观数据
流通中的现金(M0)-同比增长,M0,float64,输出参数,macro_china_money_supply,中国宏观数据
流通中的现金(M0)-数量(亿元),M0,float64,输出参数,macro_china_money_supply,中国宏观数据
流通中的现金(M0)-环比增长,M0,float64,输出参数,macro_china_money_supply,中国宏观数据
消息公布次日指数涨跌-上证,,float64,输出参数,macro_china_reserve_requirement_ratio,中国宏观数据
消息公布次日指数涨跌-深证,,float64,输出参数,macro_china_reserve_requirement_ratio,中国宏观数据
消费者信心指数-同比增长,,float64,输出参数,macro_china_xfzxx,其他宏观数据
消费者信心指数-指数值,,float64,输出参数,macro_china_xfzxx,其他宏观数据
消费者信心指数-环比增长,,float64,输出参数,macro_china_xfzxx,其他宏观数据
消费者满意指数-同比增长,,float64,输出参数,macro_china_xfzxx,其他宏观数据
消费者满意指数-指数值,,float64,输出参数,macro_china_xfzxx,其他宏观数据
消费者满意指数-环比增长,,float64,输出参数,macro_china_xfzxx,其他宏观数据
消费者预期指数-同比增长,,float64,输出参数,macro_china_xfzxx,其他宏观数据
消费者预期指数-指数值,,float64,输出参数,macro_china_xfzxx,其他宏观数据
消费者预期指数-环比增长,,float64,输出参数,macro_china_xfzxx,其他宏观数据
涨跌,,float64,输出参数,macro_china_au_report,其他宏观数据
涨跌幅,,float64,输出参数,macro_china_bank_financing,其他宏观数据
涨跌幅,,float64,输出参数,macro_china_insurance_income,其他宏观数据
涨跌幅,,float64,输出参数,macro_china_mobile_number,其他宏观数据
涨跌幅,,float64,输出参数,macro_china_vegetable_basket,其他宏观数据
涨跌幅,,float64,输出参数,macro_china_agricultural_product,其他宏观数据
涨跌幅,,float64,输出参数,macro_china_agricultural_index,其他宏观数据
涨跌幅,,float64,输出参数,macro_china_energy_index,其他宏观数据
涨跌幅,,float64,输出参数,macro_china_commodity_price_index,其他宏观数据
涨跌幅,,float64,输出参数,macro_global_sox_index,其他宏观数据
涨跌幅,,float64,输出参数,macro_china_yw_electronic_index,其他宏观数据
涨跌幅,,float64,输出参数,macro_china_construction_index,其他宏观数据
涨跌幅,,float64,输出参数,macro_china_construction_price_index,其他宏观数据
涨跌幅,,float64,输出参数,macro_china_lpi_index,其他宏观数据
涨跌幅,,float64,输出参数,macro_china_bdti_index,其他宏观数据
涨跌幅,,float64,输出参数,macro_china_bsi_index,其他宏观数据
涨跌幅,,float64,输出参数,macro_shipping_bci,其他宏观数据
涨跌幅,,float64,输出参数,macro_shipping_bdi,其他宏观数据
涨跌幅,,float64,输出参数,macro_shipping_bpi,其他宏观数据
涨跌幅,,float64,输出参数,macro_shipping_bcti,其他宏观数据
涨跌幅,,float64,输出参数,macro_china_real_estate,中国宏观数据
涨跌幅,,float64,输出参数,macro_china_au_report,其他宏观数据
混合钻井_变化,_,float64,输出参数,macro_usa_rig_count,其他宏观数据
混合钻井_钻井数,_,float64,输出参数,macro_usa_rig_count,其他宏观数据
港元/人民币_中间价,_,float64,输出参数,macro_china_rmb,中国宏观数据
港元/人民币_涨跌幅,_,float64,输出参数,macro_china_rmb,中国宏观数据
澳元-净仓位,,float64,输出参数,macro_usa_cftc_nc_holding,美国宏观数据
澳元-净仓位,,float64,输出参数,macro_usa_cftc_merchant_currency_holding,美国宏观数据
澳元/人民币_中间价,_,float64,输出参数,macro_china_rmb,中国宏观数据
澳元/人民币_涨跌幅,_,float64,输出参数,macro_china_rmb,中国宏观数据
灵便型船综合运价指数BHMI,BHMI,float64,输出参数,macro_china_freight_index,中国宏观数据
煤油电-同比增长,,float64,输出参数,macro_china_qyspjg,中国宏观数据
煤油电-指数值,,float64,输出参数,macro_china_qyspjg,中国宏观数据
煤油电-环比增长,,float64,输出参数,macro_china_qyspjg,中国宏观数据
特快专递,,float,输出参数,macro_china_postal_telecommunicational,中国宏观数据
特快专递同比增长,,float,输出参数,macro_china_postal_telecommunicational,中国宏观数据
玉米-净仓位,,float64,输出参数,macro_usa_cftc_c_holding,美国宏观数据
玉米-净仓位,,float64,输出参数,macro_usa_cftc_merchant_goods_holding,美国宏观数据
环比增长,,float64,输出参数,macro_china_gdzctz,中国宏观数据
环比增长,,float64,输出参数,macro_china_whxd,其他宏观数据
环比增长,,float64,输出参数,macro_china_wbck,其他宏观数据
环比增长,,float64,输出参数,macro_china_consumer_goods_retail,其他宏观数据
现值,,float64,输出参数,macro_china_hk_cpi,中国宏观数据
现值,,float64,输出参数,macro_china_hk_cpi_ratio,中国宏观数据
现值,,float64,输出参数,macro_china_hk_rate_of_unemployment,中国宏观数据
现值,,float64,输出参数,macro_china_hk_gbp,中国宏观数据
现值,,float64,输出参数,macro_china_hk_gbp_ratio,中国宏观数据
现值,,float64,输出参数,macro_china_hk_building_volume,中国宏观数据
现值,,float64,输出参数,macro_china_hk_building_amount,中国宏观数据
现值,,float64,输出参数,macro_china_hk_trade_diff_ratio,中国宏观数据
现值,,float64,输出参数,macro_china_hk_ppi,中国宏观数据
现值,,float64,输出参数,macro_usa_cpi_yoy,美国宏观数据
现值,,float64,输出参数,macro_usa_phs,美国宏观数据
现值,,float64,输出参数,macro_germany_ifo,其他宏观数据
现值,,float64,输出参数,macro_germany_cpi_monthly,其他宏观数据
现值,,float64,输出参数,macro_germany_cpi_yearly,其他宏观数据
现值,,float64,输出参数,macro_germany_trade_adjusted,贸易数据
现值,,float64,输出参数,macro_germany_gdp,GDP相关
现值,,float64,输出参数,macro_germany_retail_sale_monthly,其他宏观数据
现值,,float64,输出参数,macro_germany_retail_sale_yearly,其他宏观数据
现值,,float64,输出参数,macro_germany_zew,其他宏观数据
现值,,float64,输出参数,macro_swiss_svme,其他宏观数据
现值,,float64,输出参数,macro_swiss_trade,贸易数据
现值,,float64,输出参数,macro_swiss_cpi_yearly,其他宏观数据
现值,,float64,输出参数,macro_swiss_gdp_quarterly,GDP相关
现值,,float64,输出参数,macro_swiss_gbd_yearly,GDP相关
现值,,float64,输出参数,macro_swiss_gbd_bank_rate,中国宏观数据
现值,,float64,输出参数,macro_japan_bank_rate,中国宏观数据
现值,,float64,输出参数,macro_japan_cpi_yearly,日本宏观数据
现值,,float64,输出参数,macro_japan_core_cpi_yearly,日本宏观数据
现值,,float64,输出参数,macro_japan_unemployment_rate,日本宏观数据
现值,,float64,输出参数,macro_japan_head_indicator,日本宏观数据
现值,,float64,输出参数,macro_uk_halifax_monthly,其他宏观数据
现值,,float64,输出参数,macro_uk_halifax_yearly,其他宏观数据
现值,,float64,输出参数,macro_uk_trade,贸易数据
现值,,float64,输出参数,macro_uk_bank_rate,中国宏观数据
现值,,float64,输出参数,macro_uk_core_cpi_yearly,其他宏观数据
现值,,float64,输出参数,macro_uk_core_cpi_monthly,其他宏观数据
现值,,float64,输出参数,macro_uk_cpi_yearly,其他宏观数据
现值,,float64,输出参数,macro_uk_cpi_monthly,其他宏观数据
现值,,float64,输出参数,macro_uk_retail_monthly,其他宏观数据
现值,,float64,输出参数,macro_uk_retail_yearly,其他宏观数据
现值,,float64,输出参数,macro_uk_rightmove_yearly,其他宏观数据
现值,,float64,输出参数,macro_uk_rightmove_monthly,其他宏观数据
现值,,float64,输出参数,macro_uk_gdp_quarterly,GDP相关
现值,,float64,输出参数,macro_uk_gdp_yearly,GDP相关
现值,,float64,输出参数,macro_uk_unemployment_rate,就业数据
现值,,float64,输出参数,macro_australia_retail_rate_monthly,其他宏观数据
现值,,float64,输出参数,macro_australia_trade,贸易数据
现值,,float64,输出参数,macro_australia_unemployment_rate,就业数据
现值,,float64,输出参数,macro_australia_ppi_quarterly,其他宏观数据
现值,,float64,输出参数,macro_australia_cpi_quarterly,其他宏观数据
现值,,float64,输出参数,macro_australia_cpi_yearly,其他宏观数据
现值,,float64,输出参数,macro_australia_bank_rate,中国宏观数据
现值,,float64,输出参数,macro_canada_new_house_rate,其他宏观数据
现值,,float64,输出参数,macro_canada_unemployment_rate,就业数据
现值,,float64,输出参数,macro_canada_trade,贸易数据
现值,,float64,输出参数,macro_canada_retail_rate_monthly,其他宏观数据
现值,,float64,输出参数,macro_canada_bank_rate,中国宏观数据
现值,,float64,输出参数,macro_canada_core_cpi_yearly,其他宏观数据
现值,,float64,输出参数,macro_canada_core_cpi_monthly,其他宏观数据
现值,,float64,输出参数,macro_canada_cpi_yearly,其他宏观数据
现值,,float64,输出参数,macro_canada_cpi_monthly,其他宏观数据
现值,,float64,输出参数,macro_canada_gdp_monthly,GDP相关
瑞郎/人民币_中间价,_,float64,输出参数,macro_china_rmb,中国宏观数据
瑞郎/人民币_涨跌幅,_,float64,输出参数,macro_china_rmb,中国宏观数据
生效时间,,object,输出参数,macro_china_reserve_requirement_ratio,中国宏观数据
电信业务总量,,float,输出参数,macro_china_postal_telecommunicational,中国宏观数据
电信业务总量同比增长,,float,输出参数,macro_china_postal_telecommunicational,中国宏观数据
省市地区,,object,输出参数,macro_china_insurance,中国宏观数据
矿产品-同比增长,,float64,输出参数,macro_china_qyspjg,中国宏观数据
矿产品-指数值,,float64,输出参数,macro_china_qyspjg,中国宏观数据
矿产品-环比增长,,float64,输出参数,macro_china_qyspjg,中国宏观数据
社会融资规模增量,,float64,输出参数,macro_china_shrzgm,贸易数据
科威特,,float64,输出参数,macro_cons_opec_month,其他宏观数据
移动电话用户数,,float,输出参数,macro_china_postal_telecommunicational,中国宏观数据
移动电话用户数同比增长,,float,输出参数,macro_china_postal_telecommunicational,中国宏观数据
税收收入合计,,float64,输出参数,macro_china_national_tax_receipts,中国宏观数据
第一产业-同比增长,,float64,输出参数,macro_china_gdp,中国宏观数据
第一产业-绝对值,,float64,输出参数,macro_china_gdp,中国宏观数据
第一产业用电量,,float64,输出参数,macro_china_society_electricity,中国宏观数据
第一产业用电量同比,,float64,输出参数,macro_china_society_electricity,中国宏观数据
第三产业-同比增长,,float64,输出参数,macro_china_gdp,中国宏观数据
第三产业-绝对值,,float64,输出参数,macro_china_gdp,中国宏观数据
第三产业用电量,,float64,输出参数,macro_china_society_electricity,中国宏观数据
第三产业用电量同比,,float64,输出参数,macro_china_society_electricity,中国宏观数据
