参数名,参数英文名,类型,参数类型,接口名,接口类型,数据样例
前值,,float64,输出参数,macro_usa_lmci,其他宏观数据,NaN
前值,,float64,输出参数,macro_usa_unemployment_rate,美国宏观数据,3.5
前值,,float64,输出参数,macro_usa_job_cuts,美国宏观数据,NaN
前值,,float64,输出参数,macro_usa_non_farm,美国宏观数据,-3.3
前值,,float64,输出参数,macro_usa_adp_employment,美国宏观数据,NaN
前值,,float64,输出参数,macro_usa_core_pce_price,美国宏观数据,NaN
前值,,float64,输出参数,macro_usa_real_consumer_spending,美国宏观数据,1.8
前值,,float64,输出参数,macro_usa_trade_balance,美国宏观数据,NaN
前值,,float64,输出参数,macro_usa_current_account,美国宏观数据,-1790
前值,,float64,输出参数,macro_usa_ppi,美国宏观数据,-0.3
前值,,float64,输出参数,macro_usa_core_ppi,美国宏观数据,0.4
前值,,float64,输出参数,macro_usa_api_crude_stock,美国宏观数据,-137.0
前值,,float64,输出参数,macro_usa_pmi,美国宏观数据,53.9
前值,,float64,输出参数,macro_usa_ism_pmi,美国宏观数据,NaN
前值,,float64,输出参数,macro_usa_industrial_production,美国宏观数据,NaN
前值,,float64,输出参数,macro_usa_durable_goods_orders,美国宏观数据,5.0
前值,,float64,输出参数,macro_usa_factory_orders,美国宏观数据,NaN
前值,,float64,输出参数,macro_usa_services_pmi,美国宏观数据,NaN
前值,,float64,输出参数,macro_usa_business_inventories,美国宏观数据,NaN
前值,,float64,输出参数,macro_usa_ism_non_pmi,美国宏观数据,NaN
前值,,float64,输出参数,macro_usa_nahb_house_market_index,美国宏观数据,NaN
前值,,float64,输出参数,macro_usa_house_starts,美国宏观数据,NaN
前值,,float64,输出参数,macro_usa_new_home_sales,美国宏观数据,NaN
前值,,float64,输出参数,macro_usa_building_permits,美国宏观数据,107.0
前值,,float64,输出参数,macro_usa_exist_home_sales,美国宏观数据,NaN
前值,,float64,输出参数,macro_usa_house_price_index,美国宏观数据,NaN
前值,,float64,输出参数,macro_usa_spcs20,美国宏观数据,NaN
前值,,float64,输出参数,macro_usa_pending_home_sales,美国宏观数据,NaN
前值,,float64,输出参数,macro_usa_phs,美国宏观数据,-1.5
前值,,float64,输出参数,macro_usa_cb_consumer_confidence,美国宏观数据,NaN
前值,,float64,输出参数,macro_usa_nfib_small_business,美国宏观数据,NaN
前值,,float64,输出参数,macro_usa_michigan_consumer_sentiment,美国宏观数据,NaN
前值,,float64,输出参数,macro_usa_eia_crude_rate,美国宏观数据,NaN
前值,,float64,输出参数,macro_usa_initial_jobless,美国宏观数据,NaN
前值,,float64,输出参数,macro_euro_gdp_yoy,欧洲宏观数据,-0.5
前值,,float64,输出参数,macro_euro_cpi_mom,欧洲宏观数据,NaN
前值,,float64,输出参数,macro_euro_cpi_yoy,欧洲宏观数据,NaN
前值,,float64,输出参数,macro_euro_ppi_mom,欧洲宏观数据,NaN
前值,,float64,输出参数,macro_euro_retail_sales_mom,欧洲宏观数据,NaN
前值,,float64,输出参数,macro_euro_employment_change_qoq,欧洲宏观数据,0.3
前值,,float64,输出参数,macro_euro_unemployment_rate_mom,欧洲宏观数据,NaN
前值,,float64,输出参数,macro_euro_trade_balance,欧洲宏观数据,NaN
前值,,float64,输出参数,macro_euro_current_account_mom,欧洲宏观数据,NaN
前值,,float64,输出参数,macro_euro_industrial_production_mom,欧洲宏观数据,NaN
前值,,float64,输出参数,macro_euro_manufacturing_pmi,欧洲宏观数据,52.8
前值,,float64,输出参数,macro_euro_services_pmi,欧洲宏观数据,50.6
前值,,float64,输出参数,macro_euro_zew_economic_sentiment,欧洲宏观数据,-41.7
前值,,float64,输出参数,macro_euro_sentix_investor_confidence,欧洲宏观数据,NaN
前值,,float64,输出参数,macro_germany_ifo,其他宏观数据,98.3
前值,,float64,输出参数,macro_germany_cpi_monthly,其他宏观数据,0.7
前值,,float64,输出参数,macro_germany_cpi_yearly,其他宏观数据,3.1
前值,,float64,输出参数,macro_germany_trade_adjusted,贸易数据,15.5
前值,,float64,输出参数,macro_germany_gdp,GDP相关,3.911156
前值,,float64,输出参数,macro_germany_retail_sale_monthly,其他宏观数据,4.5
前值,,float64,输出参数,macro_germany_retail_sale_yearly,其他宏观数据,3.2
前值,,float64,输出参数,macro_germany_zew,其他宏观数据,-37.2
前值,,float64,输出参数,macro_swiss_svme,其他宏观数据,NaN
前值,,float64,输出参数,macro_swiss_trade,贸易数据,NaN
前值,,float64,输出参数,macro_swiss_cpi_yearly,其他宏观数据,NaN
前值,,float64,输出参数,macro_swiss_gdp_quarterly,GDP相关,NaN
前值,,float64,输出参数,macro_swiss_gbd_yearly,GDP相关,NaN
前值,,float64,输出参数,macro_swiss_gbd_bank_rate,中国宏观数据,NaN
前值,,float64,输出参数,macro_japan_bank_rate,中国宏观数据,NaN
前值,,float64,输出参数,macro_japan_cpi_yearly,日本宏观数据,0.7
前值,,float64,输出参数,macro_japan_core_cpi_yearly,日本宏观数据,-0.1
前值,,float64,输出参数,macro_japan_unemployment_rate,日本宏观数据,3.7
前值,,float64,输出参数,macro_japan_head_indicator,日本宏观数据,102.1
前值,,float64,输出参数,macro_uk_halifax_monthly,其他宏观数据,NaN
前值,,float64,输出参数,macro_uk_halifax_yearly,其他宏观数据,5.2
前值,,float64,输出参数,macro_uk_trade,贸易数据,-3157
前值,,float64,输出参数,macro_uk_bank_rate,中国宏观数据,NaN
前值,,float64,输出参数,macro_uk_core_cpi_yearly,其他宏观数据,1.4
前值,,float64,输出参数,macro_uk_core_cpi_monthly,其他宏观数据,0.6
前值,,float64,输出参数,macro_uk_cpi_yearly,其他宏观数据,2.115385
前值,,float64,输出参数,macro_uk_cpi_monthly,其他宏观数据,0.6
前值,,float64,输出参数,macro_uk_retail_monthly,其他宏观数据,-0.4
前值,,float64,输出参数,macro_uk_retail_yearly,其他宏观数据,2.7
前值,,float64,输出参数,macro_uk_rightmove_yearly,其他宏观数据,NaN
前值,,float64,输出参数,macro_uk_rightmove_monthly,其他宏观数据,NaN
前值,,float64,输出参数,macro_uk_gdp_quarterly,GDP相关,0.6
前值,,float64,输出参数,macro_uk_gdp_yearly,GDP相关,NaN
前值,,float64,输出参数,macro_uk_unemployment_rate,就业数据,5.19
前值,,float64,输出参数,macro_australia_retail_rate_monthly,其他宏观数据,23.4
前值,,float64,输出参数,macro_australia_trade,贸易数据,-1148
前值,,float64,输出参数,macro_australia_unemployment_rate,就业数据,4.309566
前值,,float64,输出参数,macro_australia_ppi_quarterly,其他宏观数据,0.7
前值,,float64,输出参数,macro_australia_cpi_quarterly,其他宏观数据,0.9
前值,,float64,输出参数,macro_australia_cpi_yearly,其他宏观数据,2.9
前值,,float64,输出参数,macro_australia_bank_rate,中国宏观数据,NaN
前值,,float64,输出参数,macro_canada_new_house_rate,其他宏观数据,29.96
前值,,float64,输出参数,macro_canada_unemployment_rate,就业数据,5.2
前值,,float64,输出参数,macro_canada_trade,贸易数据,1138
前值,,float64,输出参数,macro_canada_retail_rate_monthly,其他宏观数据,1.2
前值,,float64,输出参数,macro_canada_bank_rate,中国宏观数据,3.75
前值,,float64,输出参数,macro_canada_core_cpi_yearly,其他宏观数据,5.800000
前值,,float64,输出参数,macro_canada_core_cpi_monthly,其他宏观数据,0.400000
前值,,float64,输出参数,macro_canada_cpi_yearly,其他宏观数据,6.900000
前值,,float64,输出参数,macro_canada_cpi_monthly,其他宏观数据,0.065531
前值,,float64,输出参数,macro_canada_gdp_monthly,GDP相关,0.1
前值,,float64,输出参数,macro_info_ws,其他宏观数据,
前值,,float64,输出参数,news_economic_baidu,其他宏观数据,-16.72
加元/人民币_中间价,_,float64,输出参数,macro_china_rmb,中国宏观数据,
加元/人民币_涨跌幅,_,float64,输出参数,macro_china_rmb,中国宏观数据,
加权平均价,,float64,输出参数,macro_china_au_report,其他宏观数据,
加蓬,,float64,输出参数,macro_cons_opec_month,其他宏观数据,20.9
募集资金,,float64,输出参数,macro_stock_finance,其他宏观数据,567.67
包件,,float,输出参数,macro_china_postal_telecommunicational,中国宏观数据,
包件同比增长,,float,输出参数,macro_china_postal_telecommunicational,中国宏观数据,
厄瓜多尔,,float64,输出参数,macro_cons_opec_month,其他宏观数据,
原保险保费收入,,float64,输出参数,macro_china_insurance,中国宏观数据,5361100.0
原保险赔付支出,,float64,输出参数,macro_china_insurance,中国宏观数据,
发布日期,,object,输出参数,macro_china_hk_cpi,中国宏观数据,2008-02-21
发布日期,,object,输出参数,macro_china_hk_cpi_ratio,中国宏观数据,2008-02-21
发布日期,,object,输出参数,macro_china_hk_rate_of_unemployment,中国宏观数据,2008-02-18
发布日期,,object,输出参数,macro_china_hk_gbp,中国宏观数据,2008-05-15
发布日期,,object,输出参数,macro_china_hk_gbp_ratio,中国宏观数据,2008-05-15
发布日期,,object,输出参数,macro_china_hk_building_volume,中国宏观数据,2008-02-04
发布日期,,object,输出参数,macro_china_hk_building_amount,中国宏观数据,2008-02-04
发布日期,,object,输出参数,macro_china_hk_trade_diff_ratio,中国宏观数据,2008-02-27
发布日期,,object,输出参数,macro_china_hk_ppi,中国宏观数据,2008-06-13
发布日期,,object,输出参数,macro_usa_cpi_yoy,美国宏观数据,2008-02-14
发布日期,,object,输出参数,macro_usa_phs,美国宏观数据,2022-11-18
发布日期,,object,输出参数,macro_germany_ifo,其他宏观数据,2008-01-25
发布日期,,object,输出参数,macro_germany_cpi_monthly,其他宏观数据,2008-02-16
发布日期,,object,输出参数,macro_germany_cpi_yearly,其他宏观数据,2008-02-16
发布日期,,object,输出参数,macro_germany_trade_adjusted,贸易数据,2008-03-10
发布日期,,object,输出参数,macro_germany_gdp,GDP相关,2008-05-27
发布日期,,object,输出参数,macro_germany_retail_sale_monthly,其他宏观数据,2008-02-13
发布日期,,object,输出参数,macro_germany_retail_sale_yearly,其他宏观数据,2009-04-13
发布日期,,object,输出参数,macro_germany_zew,其他宏观数据,2008-01-16
发布日期,,object,输出参数,macro_swiss_svme,其他宏观数据,2008-01-01
发布日期,,object,输出参数,macro_swiss_trade,贸易数据,2008-01-20
发布日期,,object,输出参数,macro_swiss_cpi_yearly,其他宏观数据,2008-01-08
发布日期,,object,输出参数,macro_swiss_gdp_quarterly,GDP相关,2008-03-01
发布日期,,object,输出参数,macro_swiss_gbd_yearly,GDP相关,2008-03-02
发布日期,,object,输出参数,macro_swiss_gbd_bank_rate,中国宏观数据,2008-03-16
发布日期,,object,输出参数,macro_japan_bank_rate,中国宏观数据,2008-01-21
发布日期,,object,输出参数,macro_japan_cpi_yearly,日本宏观数据,2008-02-25
发布日期,,object,输出参数,macro_japan_core_cpi_yearly,日本宏观数据,2008-02-25
发布日期,,object,输出参数,macro_japan_unemployment_rate,日本宏观数据,2008-02-29
发布日期,,object,输出参数,macro_japan_head_indicator,日本宏观数据,2008-03-08
发布日期,,object,输出参数,macro_uk_halifax_monthly,其他宏观数据,2008-02-07
发布日期,,object,输出参数,macro_uk_halifax_yearly,其他宏观数据,2008-02-07
发布日期,,object,输出参数,macro_uk_trade,贸易数据,2008-03-11
发布日期,,object,输出参数,macro_uk_bank_rate,中国宏观数据,2008-01-15
发布日期,,object,输出参数,macro_uk_core_cpi_yearly,其他宏观数据,2008-02-16
发布日期,,object,输出参数,macro_uk_core_cpi_monthly,其他宏观数据,2008-02-16
发布日期,,object,输出参数,macro_uk_cpi_yearly,其他宏观数据,2008-02-16
发布日期,,object,输出参数,macro_uk_cpi_monthly,其他宏观数据,2008-02-16
发布日期,,object,输出参数,macro_uk_retail_monthly,其他宏观数据,2008-02-20
发布日期,,object,输出参数,macro_uk_retail_yearly,其他宏观数据,2008-02-20
发布日期,,object,输出参数,macro_uk_rightmove_yearly,其他宏观数据,2008-01-20
发布日期,,object,输出参数,macro_uk_rightmove_monthly,其他宏观数据,2008-01-20
发布日期,,object,输出参数,macro_uk_gdp_quarterly,GDP相关,2008-06-29
发布日期,,object,输出参数,macro_uk_gdp_yearly,GDP相关,2010-03-31
发布日期,,object,输出参数,macro_uk_unemployment_rate,就业数据,2008-02-16
发布日期,,object,输出参数,macro_australia_retail_rate_monthly,其他宏观数据,2008-03-06
发布日期,,object,输出参数,macro_australia_trade,贸易数据,2008-03-06
发布日期,,object,输出参数,macro_australia_unemployment_rate,就业数据,2008-02-15
发布日期,,object,输出参数,macro_australia_ppi_quarterly,其他宏观数据,2008-04-29
发布日期,,object,输出参数,macro_australia_cpi_quarterly,其他宏观数据,2008-06-07
发布日期,,object,输出参数,macro_australia_cpi_yearly,其他宏观数据,2008-04-26
发布日期,,object,输出参数,macro_australia_bank_rate,中国宏观数据,2008-01-05
发布日期,,object,输出参数,macro_canada_new_house_rate,其他宏观数据,2022-11-16
发布日期,,object,输出参数,macro_canada_unemployment_rate,就业数据,2022-12-02
发布日期,,object,输出参数,macro_canada_trade,贸易数据,2022-12-06
发布日期,,object,输出参数,macro_canada_retail_rate_monthly,其他宏观数据,2022-12-20
发布日期,,object,输出参数,macro_canada_bank_rate,中国宏观数据,2022-12-07
发布日期,,object,输出参数,macro_canada_core_cpi_yearly,其他宏观数据,2022-12-21
发布日期,,object,输出参数,macro_canada_core_cpi_monthly,其他宏观数据,2022-12-21
发布日期,,object,输出参数,macro_canada_cpi_yearly,其他宏观数据,2022-12-21
发布日期,,object,输出参数,macro_canada_cpi_monthly,其他宏观数据,2022-11-16
发布日期,,object,输出参数,macro_canada_gdp_monthly,GDP相关,2022-11-29
发布时间,,object,输出参数,macro_china_gyzjz,中国宏观数据,2008-02-01
发行总股本-上海,,float64,输出参数,macro_china_stock_market_cap,其他宏观数据,NaN
发行总股本-深圳,,float64,输出参数,macro_china_stock_market_cap,其他宏观数据,
发行日期,,object,输出参数,macro_china_bond_public,中国宏观数据,01-16
发行货币,,float64,输出参数,macro_china_central_bank_balance,中国宏观数据,
各行业用电量合计,,float64,输出参数,macro_china_society_electricity,中国宏观数据,
各行业用电量合计同比,,float64,输出参数,macro_china_society_electricity,中国宏观数据,
同比增长,,float64,输出参数,macro_china_gyzjz,中国宏观数据,15.4
同比增长,,float64,输出参数,macro_china_gdzctz,中国宏观数据,4.27
同比增长,,float64,输出参数,macro_china_whxd,其他宏观数据,4508.33
同比增长,,float64,输出参数,macro_china_wbck,其他宏观数据,-132.917535
同比增长,,float64,输出参数,macro_china_consumer_goods_retail,其他宏观数据,-0.5
品种,,object,输出参数,macro_usa_cme_merchant_goods_holding,其他宏观数据,铜-看跌
商品,,object,输出参数,macro_china_gdp_yearly,中国宏观数据,中国GDP年率报告
商品,,object,输出参数,macro_china_cpi_yearly,中国宏观数据,中国CPI年率报告
商品,,object,输出参数,macro_china_cpi_monthly,中国宏观数据,中国CPI月率报告
商品,,object,输出参数,macro_china_ppi_yearly,中国宏观数据,中国PPI年率报告
商品,,object,输出参数,macro_china_exports_yoy,中国宏观数据,中国以美元计算出口年率报告
商品,,object,输出参数,macro_china_imports_yoy,中国宏观数据,中国以美元计算进口年率报告
商品,,object,输出参数,macro_china_trade_balance,中国宏观数据,中国以美元计算贸易帐报告
商品,,object,输出参数,macro_china_industrial_production_yoy,中国宏观数据,中国规模以上工业增加值年率报告
商品,,object,输出参数,macro_china_pmi_yearly,中国宏观数据,中国官方制造业PMI
商品,,object,输出参数,macro_china_cx_pmi_yearly,中国宏观数据,中国财新制造业PMI终值报告
商品,,object,输出参数,macro_china_cx_services_pmi_yearly,中国宏观数据,中国财新服务业PMI报告
商品,,object,输出参数,macro_china_non_man_pmi,中国宏观数据,中国官方非制造业PMI报告
商品,,object,输出参数,macro_china_fx_reserves_yearly,中国宏观数据,中国外汇储备报告
商品,,object,输出参数,macro_china_m2_yearly,中国宏观数据,中国M2货币供应年率报告
商品,,object,输出参数,macro_china_au_report,其他宏观数据,Pt9995
商品,,object,输出参数,macro_usa_gdp_monthly,美国宏观数据,美国国内生产总值(GDP)
商品,,object,输出参数,macro_usa_cpi_monthly,美国宏观数据,美国CPI月率
商品,,object,输出参数,macro_usa_core_cpi_monthly,美国宏观数据,美国核心CPI月率
商品,,object,输出参数,macro_usa_personal_spending,美国宏观数据,美国个人支出月率
商品,,object,输出参数,macro_usa_retail_sales,美国宏观数据,美国零售销售月率
商品,,object,输出参数,macro_usa_import_price,美国宏观数据,美国进口物价指数
商品,,object,输出参数,macro_usa_export_price,美国宏观数据,美国出口价格指数
商品,,object,输出参数,macro_usa_lmci,其他宏观数据,美联储劳动力市场状况指数
商品,,object,输出参数,macro_usa_unemployment_rate,美国宏观数据,美国失业率
商品,,object,输出参数,macro_usa_job_cuts,美国宏观数据,美国挑战者企业裁员人数
商品,,object,输出参数,macro_usa_non_farm,美国宏观数据,美国非农就业人数
商品,,object,输出参数,macro_usa_adp_employment,美国宏观数据,美国ADP就业人数
商品,,object,输出参数,macro_usa_core_pce_price,美国宏观数据,美国核心PCE物价指数年率
商品,,object,输出参数,macro_usa_real_consumer_spending,美国宏观数据,美国实际个人消费支出季率初值
商品,,object,输出参数,macro_usa_trade_balance,美国宏观数据,美国贸易帐报告
商品,,object,输出参数,macro_usa_current_account,美国宏观数据,美国经常账报告
商品,,object,输出参数,macro_usa_ppi,美国宏观数据,美国生产者物价指数
商品,,object,输出参数,macro_usa_core_ppi,美国宏观数据,美国核心生产者物价指数
商品,,object,输出参数,macro_usa_api_crude_stock,美国宏观数据,美国API原油库存
商品,,object,输出参数,macro_usa_pmi,美国宏观数据,美国Markit制造业PMI报告
商品,,object,输出参数,macro_usa_ism_pmi,美国宏观数据,美国ISM制造业PMI报告
商品,,object,输出参数,macro_usa_industrial_production,美国宏观数据,美国工业产出月率报告
商品,,object,输出参数,macro_usa_durable_goods_orders,美国宏观数据,美国耐用品订单月率报告
商品,,object,输出参数,macro_usa_factory_orders,美国宏观数据,美国工厂订单月率报告
商品,,object,输出参数,macro_usa_services_pmi,美国宏观数据,美国Markit服务业PMI初值报告
商品,,object,输出参数,macro_usa_business_inventories,美国宏观数据,美国商业库存月率报告
商品,,object,输出参数,macro_usa_ism_non_pmi,美国宏观数据,美国ISM非制造业PMI报告
商品,,object,输出参数,macro_usa_nahb_house_market_index,美国宏观数据,美国NAHB房产市场指数报告
商品,,object,输出参数,macro_usa_house_starts,美国宏观数据,美国新屋开工总数年化报告
商品,,object,输出参数,macro_usa_new_home_sales,美国宏观数据,美国新屋销售总数年化报告
商品,,object,输出参数,macro_usa_building_permits,美国宏观数据,美国营建许可总数报告
商品,,object,输出参数,macro_usa_exist_home_sales,美国宏观数据,美国成屋销售总数年化报告
商品,,object,输出参数,macro_usa_house_price_index,美国宏观数据,美国FHFA房价指数月率报告
商品,,object,输出参数,macro_usa_spcs20,美国宏观数据,美国S&P/CS20座大城市房价指数年率
商品,,object,输出参数,macro_usa_pending_home_sales,美国宏观数据,美国成屋签约销售指数月率报告
商品,,object,输出参数,macro_usa_cb_consumer_confidence,美国宏观数据,美国谘商会消费者信心指数
商品,,object,输出参数,macro_usa_nfib_small_business,美国宏观数据,美国NFIB小型企业信心指数报告
商品,,object,输出参数,macro_usa_michigan_consumer_sentiment,美国宏观数据,美国密歇根大学消费者信心指数初值报告
商品,,object,输出参数,macro_usa_eia_crude_rate,美国宏观数据,美国EIA原油库存
商品,,object,输出参数,macro_usa_initial_jobless,美国宏观数据,美国初请失业金人数
商品,,object,输出参数,macro_euro_gdp_yoy,欧洲宏观数据,欧元区季度GDP年率
商品,,object,输出参数,macro_euro_cpi_mom,欧洲宏观数据,欧元区CPI月率
商品,,object,输出参数,macro_euro_cpi_yoy,欧洲宏观数据,欧元区CPI年率
商品,,object,输出参数,macro_euro_ppi_mom,欧洲宏观数据,欧元区PPI月率
商品,,object,输出参数,macro_euro_retail_sales_mom,欧洲宏观数据,欧元区零售销售月率
商品,,object,输出参数,macro_euro_employment_change_qoq,欧洲宏观数据,欧元区季调后就业人数季率
商品,,object,输出参数,macro_euro_unemployment_rate_mom,欧洲宏观数据,欧元区失业率
商品,,object,输出参数,macro_euro_trade_balance,欧洲宏观数据,欧元区未季调贸易帐
商品,,object,输出参数,macro_euro_current_account_mom,欧洲宏观数据,欧元区经常帐
商品,,object,输出参数,macro_euro_industrial_production_mom,欧洲宏观数据,欧元区工业产出月率
商品,,object,输出参数,macro_euro_manufacturing_pmi,欧洲宏观数据,欧元区制造业PMI初值
商品,,object,输出参数,macro_euro_services_pmi,欧洲宏观数据,欧元区服务业PMI终值
商品,,object,输出参数,macro_euro_zew_economic_sentiment,欧洲宏观数据,欧元区ZEW经济景气指数
商品,,object,输出参数,macro_euro_sentix_investor_confidence,欧洲宏观数据,欧元区Sentix投资者信心指数
商品,,object,输出参数,macro_cons_gold,其他宏观数据,黄金
商品,,object,输出参数,macro_cons_silver,其他宏观数据,白银
固定电话用,,float,输出参数,macro_china_postal_telecommunicational,中国宏观数据,
固定电话用户数同比增长,,float,输出参数,macro_china_postal_telecommunicational,中国宏观数据,
国内生产总值-同比增长,,float64,输出参数,macro_china_gdp,中国宏观数据,18.3
国内生产总值-绝对值,,float64,输出参数,macro_china_gdp,中国宏观数据,249310.0
国外负债,,float64,输出参数,macro_china_central_bank_balance,中国宏观数据,
国外资产,,float64,输出参数,macro_china_central_bank_balance,中国宏观数据,231736.57
国家外汇储备,,float64,输出参数,macro_china_foreign_exchange_gold,中国宏观数据,1.67
国家外汇储备-同比,,float64,输出参数,macro_china_fx_gold,中国宏观数据,43.914387
国家外汇储备-数值,,float64,输出参数,macro_china_fx_gold,中国宏观数据,15898.1040
国家外汇储备-环比,,float64,输出参数,macro_china_fx_gold,中国宏观数据,4.028224
地区,,object,输出参数,macro_info_ws,其他宏观数据,
地区,,object,输出参数,news_economic_baidu,其他宏观数据,巴西
地方政府,,float64,输出参数,macro_cnbs,中国宏观数据,3.9
城乡居民生活用电量合计,,float64,输出参数,macro_china_society_electricity,中国宏观数据,
城乡居民生活用电量合计同比,,float64,输出参数,macro_china_society_electricity,中国宏观数据,
城市,,object,输出参数,macro_china_new_house_price,中国宏观数据,上海
城市-同比增长,,float64,输出参数,macro_china_cpi,中国宏观数据,
城市-当月,,float64,输出参数,macro_china_cpi,中国宏观数据,
城市-环比增长,,float64,输出参数,macro_china_cpi,中国宏观数据,
城市-累计,,float64,输出参数,macro_china_cpi,中国宏观数据,
城市住宅电话用户,,float,输出参数,macro_china_postal_telecommunicational,中国宏观数据,
城市住宅电话用户同比增长,,float,输出参数,macro_china_postal_telecommunicational,中国宏观数据,NaN
城市电话用户数,,float,输出参数,macro_china_postal_telecommunicational,中国宏观数据,
城市电话用户数同比增长,,float,输出参数,macro_china_postal_telecommunicational,中国宏观数据,
城镇居民用电量,,float64,输出参数,macro_china_society_electricity,中国宏观数据,
城镇居民用电量同比,,float64,输出参数,macro_china_society_electricity,中国宏观数据,16.12
增发募集资金,,float64,输出参数,macro_stock_finance,其他宏观数据,199.64
增持/减持,,float64,输出参数,macro_cons_gold,其他宏观数据,49.76
增持/减持,,float64,输出参数,macro_cons_silver,其他宏观数据,68.54
备注,,object,输出参数,macro_china_reserve_requirement_ratio,中国宏观数据,"为保持流动性合理充裕,促进综合融资成本稳中有降,落实稳经济一揽子政策措施,巩固经济回稳向上基..."
外汇,,float64,输出参数,macro_china_central_bank_balance,中国宏观数据,217824.72
大型金融机构-调整前,,float64,输出参数,macro_china_reserve_requirement_ratio,中国宏观数据,
大型金融机构-调整后,,float64,输出参数,macro_china_reserve_requirement_ratio,中国宏观数据,
大型金融机构-调整幅度,,float64,输出参数,macro_china_reserve_requirement_ratio,中国宏观数据,
委内瑞拉,,float64,输出参数,macro_cons_opec_month,其他宏观数据,203.4
存煤可用天数,,float64,输出参数,macro_china_daily_energy,中国宏观数据,18.19
季度,,object,输出参数,macro_china_enterprise_boom_index,中国宏观数据,2022年第2季度
季度,,object,输出参数,macro_china_national_tax_receipts,中国宏观数据,2022年第1-3季度
季度,,object,输出参数,macro_china_gdp,中国宏观数据,2021-03-01
季度环比,,float64,输出参数,macro_china_national_tax_receipts,中国宏观数据,0.171811
安哥拉,,float64,输出参数,macro_cons_opec_month,其他宏观数据,167.4
定期存款,,float64,输出参数,macro_china_supply_of_money,中国宏观数据,
定期存款同比增长,,float64,输出参数,macro_china_supply_of_money,中国宏观数据,
实体经济部门,,float64,输出参数,macro_cnbs,中国宏观数据,105.8
客座率,,float64,输出参数,macro_china_passenger_load_factor,中国宏观数据,81.20
